 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0007         0.0000         0.0000         0.0000        12.6224         0.0000         8.1451
         0.0013         0.0000         0.0000         0.0000        25.2480         0.0000        16.2923
         0.0020         0.0000         0.0000         0.0000        37.8768         0.0000        24.4417
         0.0027         0.0000         0.0000         0.0000        50.5089         0.0000        32.5931
         0.0033         0.0000         0.0000         0.0000        63.1443         0.0000        40.7467
         0.0040         0.0000         0.0000         0.0000        75.7829         0.0000        48.9024
         0.0047         0.0000         0.0000         0.0000        88.4248         0.0000        57.0602
         0.0053         0.0000         0.0000         0.0000       101.0699         0.0000        65.2201
         0.0060         0.0000         0.0000         0.0000       113.7182         0.0000        73.3821
         0.0067         0.0000         0.0000         0.0000       126.3699         0.0000        81.5462
         0.0073         0.0000         0.0000         0.0000       139.0248         0.0000        89.7125
         0.0080         0.0000         0.0000         0.0000       151.6829         0.0000        97.8809
         0.0087         0.0000         0.0000         0.0000       164.3443         0.0000       106.0514
         0.0093         0.0000         0.0000         0.0000       177.0090         0.0000       114.2241
         0.0100         0.0000         0.0000         0.0000       189.6770         0.0000       122.3988
         0.0107         0.0000         0.0000         0.0000       202.3482         0.0000       130.5757
         0.0113         0.0000         0.0000         0.0000       215.0227         0.0000       138.7547
         0.0120         0.0000         0.0000         0.0000       227.7005         0.0000       146.9359
         0.0127         0.0000         0.0000         0.0000       240.3816         0.0000       155.1192
         0.0133         0.0000         0.0000         0.0000       253.0659         0.0000       163.3046
         0.0140         0.0000         0.0000         0.0000       265.7535         0.0000       171.4921
         0.0147         0.0000         0.0000         0.0000       278.4444         0.0000       179.6818
         0.0153         0.0000         0.0000         0.0000       291.1386         0.0000       187.8736
         0.0160         0.0000         0.0000         0.0000       303.8361         0.0000       196.0676
         0.0167         0.0000         0.0000         0.0000       316.5368         0.0000       204.2637
         0.0173         0.0000         0.0000         0.0000       329.2409         0.0000       212.4619
         0.0180         0.0000         0.0000         0.0000       341.9482         0.0000       220.6623
         0.0187         0.0000         0.0000         0.0000       354.6589         0.0000       228.8648
         0.0193         0.0000         0.0000         0.0000       367.3728         0.0000       237.0695
         0.0200         0.0000         0.0000         0.0000       380.0901         0.0000       245.2763
         0.0207         0.0000         0.0000         0.0000       392.8106         0.0000       253.4852
         0.0213         0.0000         0.0000         0.0000       405.5344         0.0000       261.6963
         0.0220         0.0000         0.0000         0.0000       418.2616         0.0000       269.9096
         0.0227         0.0000         0.0000         0.0000       430.9920         0.0000       278.1250
         0.0233         0.0000         0.0000         0.0000       443.7258         0.0000       286.3425
         0.0240         0.0000         0.0000         0.0000       456.4629         0.0000       294.5622
         0.0247         0.0000         0.0000         0.0000       469.2033         0.0000       302.7841
         0.0253         0.0000         0.0000         0.0000       481.9470         0.0000       311.0081
         0.0260         0.0000         0.0000         0.0000       494.6940         0.0000       319.2343
         0.0267         0.0000         0.0000         0.0000       507.4444         0.0000       327.4626
         0.0273         0.0000         0.0000         0.0000       520.1981         0.0000       335.6931
         0.0280         0.0000         0.0000         0.0000       532.9551         0.0000       343.9258
         0.0287         0.0000         0.0000         0.0000       545.7154         0.0000       352.1606
         0.0293         0.0000         0.0000         0.0000       558.4790         0.0000       360.3976
         0.0300         0.0000         0.0000         0.0000       571.2460         0.0000       368.6367
         0.0307         0.0000         0.0000         0.0000       584.0163         0.0000       376.8781
         0.0313         0.0000         0.0000         0.0000       596.7900         0.0000       385.1215
         0.0320         0.0000         0.0000         0.0000       609.5670         0.0000       393.3672
         0.0327         0.0000         0.0000         0.0000       622.3473         0.0000       401.6150
         0.0333         0.0000         0.0000         0.0000       635.1310         0.0000       409.8650
         0.0340         0.0000         0.0000         0.0000       647.9180         0.0000       418.1172
         0.0347         0.0000         0.0000         0.0000       660.7083         0.0000       426.3715
         0.0353         0.0000         0.0000         0.0000       673.5020         0.0000       434.6281
         0.0360         0.0000         0.0000         0.0000       686.2991         0.0000       442.8867
         0.0367         0.0000         0.0000         0.0000       699.0995         0.0000       451.1476
         0.0373         0.0000         0.0000         0.0000       711.9033         0.0000       459.4107
         0.0380         0.0000         0.0000         0.0000       724.7104         0.0000       467.6759
         0.0387         0.0000         0.0000         0.0000       737.5208         0.0000       475.9434
         0.0393         0.0000         0.0000         0.0000       750.3346         0.0000       484.2129
         0.0400         0.0000         0.0000         0.0000       763.1519         0.0000       492.4847
         0.0407         0.0000         0.0000         0.0000       775.9724         0.0000       500.7587
         0.0413         0.0000         0.0000         0.0000       788.7963         0.0000       509.0349
         0.0420         0.0000         0.0000         0.0000       801.6236         0.0000       517.3132
         0.0427         0.0000         0.0000         0.0000       814.4542         0.0000       525.5938
         0.0433         0.0000         0.0000         0.0000       827.2883         0.0000       533.8765
         0.0440         0.0000         0.0000         0.0000       840.1257         0.0000       542.1615
         0.0447         0.0000         0.0000         0.0000       852.9665         0.0000       550.4486
         0.0453         0.0000         0.0000         0.0000       865.8106         0.0000       558.7379
         0.0460         0.0000         0.0000         0.0000       878.6582         0.0000       567.0294
         0.0467         0.0000         0.0000         0.0000       891.5091         0.0000       575.3231
         0.0473         0.0000         0.0000         0.0000       904.3634         0.0000       583.6191
         0.0480         0.0000         0.0000         0.0000       917.2211         0.0000       591.9172
         0.0487         0.0000         0.0000         0.0000       930.0822         0.0000       600.2175
         0.0493         0.0000         0.0000         0.0000       942.9467         0.0000       608.5200
         0.0500         0.0000         0.0000         0.0000       955.8146         0.0000       616.8248
         0.0507         0.0000         0.0000         0.0000       968.6858         0.0000       625.1317
         0.0513         0.0000         0.0000         0.0000       981.5605         0.0000       633.4409
         0.0520         0.0000         0.0000         0.0000       994.4386         0.0000       641.7522
         0.0527         0.0000         0.0000         0.0000      1007.3200         0.0000       650.0658
         0.0533         0.0000         0.0000         0.0000      1020.2049         0.0000       658.3816
         0.0540         0.0000         0.0000         0.0000      1033.0932         0.0000       666.6996
         0.0547         0.0000         0.0000         0.0000      1045.9849         0.0000       675.0198
         0.0553         0.0000         0.0000         0.0000      1058.8800         0.0000       683.3422
         0.0560         0.0000         0.0000         0.0000      1071.7785         0.0000       691.6669
         0.0567         0.0000         0.0000         0.0000      1084.6804         0.0000       699.9937
         0.0573         0.0000         0.0000         0.0000      1097.5857         0.0000       708.3229
         0.0580         0.0000         0.0000         0.0000      1110.4945         0.0000       716.6542
         0.0587         0.0000         0.0000         0.0000      1123.4067         0.0000       724.9877
         0.0593         0.0000         0.0000         0.0000      1136.3223         0.0000       733.3234
         0.0600         0.0000         0.0000         0.0000      1149.2413         0.0000       741.6614
         0.0607         0.0000         0.0000         0.0000      1162.1638         0.0000       750.0016
         0.0613         0.0000         0.0000         0.0000      1175.0897         0.0000       758.3441
         0.0620         0.0000         0.0000         0.0000      1188.0190         0.0000       766.6888
         0.0627         0.0000         0.0000         0.0000      1200.9517         0.0000       775.0357
         0.0633         0.0000         0.0000         0.0000      1213.8880         0.0000       783.3848
         0.0640         0.0000         0.0000         0.0000      1226.8276         0.0000       791.7362
         0.0647         0.0000         0.0000         0.0000      1239.7706         0.0000       800.0898
         0.0653         0.0000         0.0000         0.0000      1252.7172         0.0000       808.4457
         0.0660         0.0000         0.0000         0.0000      1265.6671         0.0000       816.8038
         0.0667         0.0000         0.0000         0.0000      1278.6206         0.0000       825.1641
         0.0673         0.0000         0.0000         0.0000      1291.5774         0.0000       833.5267
         0.0680         0.0000         0.0000         0.0000      1304.5377         0.0000       841.8915
         0.0687         0.0000         0.0000         0.0000      1317.5015         0.0000       850.2585
         0.0693         0.0000         0.0000         0.0000      1330.4687         0.0000       858.6278
         0.0700         0.0000         0.0000         0.0000      1343.4394         0.0000       866.9994
         0.0707         0.0000         0.0000         0.0000      1356.4135         0.0000       875.3732
         0.0713         0.0000         0.0000         0.0000      1369.3912         0.0000       883.7492
         0.0720         0.0000         0.0000         0.0000      1382.3722         0.0000       892.1275
         0.0727         0.0000         0.0000         0.0000      1395.3568         0.0000       900.5081
         0.0733         0.0000         0.0000         0.0000      1408.3447         0.0000       908.8909
         0.0740         0.0000         0.0000         0.0000      1421.3363         0.0000       917.2760
         0.0747         0.0000         0.0000         0.0000      1434.3312         0.0000       925.6633
         0.0753         0.0000         0.0000         0.0000      1447.3296         0.0000       934.0529
         0.0760         0.0000         0.0000         0.0000      1460.3316         0.0000       942.4448
         0.0767         0.0000         0.0000         0.0000      1473.3369         0.0000       950.8389
         0.0773         0.0000         0.0000         0.0000      1486.3458         0.0000       959.2352
         0.0780         0.0000         0.0000         0.0000      1499.3581         0.0000       967.6339
         0.0787         0.0000         0.0000         0.0000      1512.3739         0.0000       976.0348
         0.0793         0.0000         0.0000         0.0000      1525.3933         0.0000       984.4380
         0.0800         0.0000         0.0000         0.0000      1538.4161         0.0000       992.8434
         0.0807         0.0000         0.0000         0.0000      1551.4424         0.0000      1001.2511
         0.0813         0.0000         0.0000         0.0000      1564.4722         0.0000      1009.6611
         0.0820         0.0000         0.0000         0.0000      1577.5056         0.0000      1018.0733
         0.0827         0.0000         0.0000         0.0000      1590.5424         0.0000      1026.4879
         0.0833         0.0000         0.0000         0.0000      1603.5827         0.0000      1034.9046
         0.0840         0.0000         0.0000         0.0000      1616.6265         0.0000      1043.3237
         0.0847         0.0000         0.0000         0.0000      1629.6739         0.0000      1051.7451
         0.0853         0.0000         0.0000         0.0000      1642.7247         0.0000      1060.1687
         0.0860         0.0000         0.0000         0.0000      1655.7790         0.0000      1068.5946
         0.0867         0.0000         0.0000         0.0000      1668.8369         0.0000      1077.0229
         0.0873         0.0000         0.0000         0.0000      1681.8983         0.0000      1085.4533
         0.0880         0.0000         0.0000         0.0000      1694.9632         0.0000      1093.8861
         0.0887         0.0000         0.0000         0.0000      1708.0316         0.0000      1102.3212
         0.0893         0.0000         0.0000         0.0000      1721.1036         0.0000      1110.7585
         0.0900         0.0000         0.0000         0.0000      1734.1790         0.0000      1119.1982
         0.0907         0.0000         0.0000         0.0000      1747.2580         0.0000      1127.6401
         0.0913         0.0000         0.0000         0.0000      1760.3406         0.0000      1136.0844
         0.0920         0.0000         0.0000         0.0000      1773.4266         0.0000      1144.5309
         0.0927         0.0000         0.0000         0.0000      1786.5162         0.0000      1152.9797
         0.0933         0.0000         0.0000         0.0000      1799.6093         0.0000      1161.4308
         0.0940         0.0000         0.0000         0.0000      1812.7060         0.0000      1169.8842
         0.0947         0.0000         0.0000         0.0000      1825.8062         0.0000      1178.3400
         0.0953         0.0000         0.0000         0.0000      1838.9099         0.0000      1186.7980
         0.0960         0.0000         0.0000         0.0000      1852.0173         0.0000      1195.2583
         0.0967         0.0000         0.0000         0.0000      1865.1281         0.0000      1203.7209
         0.0973         0.0000         0.0000         0.0000      1878.2425         0.0000      1212.1859
         0.0980         0.0000         0.0000         0.0000      1891.3605         0.0000      1220.6531
         0.0987         0.0000         0.0000         0.0000      1904.4819         0.0000      1229.1226
         0.0993         0.0000         0.0000         0.0000      1917.6070         0.0000      1237.5945
         0.1000         0.0000         0.0000         0.0000      1930.7356         0.0000      1246.0687
         0.1007         0.0000         0.0000         0.0000      1943.8679         0.0000      1254.5452
         0.1013         0.0000         0.0000         0.0000      1957.0036         0.0000      1263.0240
         0.1020         0.0000         0.0000         0.0000      1970.1429         0.0000      1271.5051
         0.1027         0.0000         0.0000         0.0000      1983.2858         0.0000      1279.9885
         0.1033         0.0000         0.0000         0.0000      1996.4322         0.0000      1288.4743
         0.1040         0.0000         0.0000         0.0000      2009.5823         0.0000      1296.9624
         0.1047         0.0000         0.0000         0.0000      2022.7359         0.0000      1305.4528
         0.1053         0.0000         0.0000         0.0000      2035.8931         0.0000      1313.9455
         0.1060         0.0000         0.0000         0.0000      2049.0538         0.0000      1322.4406
         0.1067         0.0000         0.0000         0.0000      2062.2182         0.0000      1330.9379
         0.1073         0.0000         0.0000         0.0000      2075.3861         0.0000      1339.4377
         0.1080         0.0000         0.0000         0.0000      2088.5576         0.0000      1347.9398
         0.1087         0.0000         0.0000         0.0000      2101.7327         0.0000      1356.4441
         0.1093         0.0000         0.0000         0.0000      2114.9114         0.0000      1364.9508
         0.1100         0.0000         0.0000         0.0000      2128.0936         0.0000      1373.4599
         0.1107         0.0000         0.0000         0.0000      2141.2796         0.0000      1381.9712
         0.1113         0.0000         0.0000         0.0000      2154.4690         0.0000      1390.4850
         0.1120         0.0000         0.0000         0.0000      2167.6621         0.0000      1399.0010
         0.1127         0.0000         0.0000         0.0000      2180.8589         0.0000      1407.5194
         0.1133         0.0000         0.0000         0.0000      2194.0592         0.0000      1416.0401
         0.1140         0.0000         0.0000         0.0000      2207.2631         0.0000      1424.5632
         0.1147         0.0000         0.0000         0.0000      2220.4706         0.0000      1433.0886
         0.1153         0.0000         0.0000         0.0000      2233.6818         0.0000      1441.6164
         0.1160         0.0000         0.0000         0.0000      2246.8965         0.0000      1450.1465
         0.1167         0.0000         0.0000         0.0000      2260.1149         0.0000      1458.6790
         0.1173         0.0000         0.0000         0.0000      2273.3369         0.0000      1467.2138
         0.1180         0.0000         0.0000         0.0000      2286.5624         0.0000      1475.7510
         0.1187         0.0000         0.0000         0.0000      2299.7917         0.0000      1484.2905
         0.1193         0.0000         0.0000         0.0000      2313.0245         0.0000      1492.8324
         0.1200         0.0000         0.0000         0.0000      2326.2610         0.0000      1501.3766
         0.1207         0.0000         0.0000         0.0000      2339.5012         0.0000      1509.9232
         0.1213         0.0000         0.0000         0.0000      2352.7449         0.0000      1518.4722
         0.1220         0.0000         0.0000         0.0000      2365.9923         0.0000      1527.0235
         0.1227         0.0000         0.0000         0.0000      2379.2433         0.0000      1535.5772
         0.1233         0.0000         0.0000         0.0000      2392.4980         0.0000      1544.1333
         0.1240         0.0000         0.0000         0.0000      2405.7563         0.0000      1552.6917
         0.1247         0.0000         0.0000         0.0000      2419.0183         0.0000      1561.2525
         0.1253         0.0000         0.0000         0.0000      2432.2839         0.0000      1569.8156
         0.1260         0.0000         0.0000         0.0000      2445.5532         0.0000      1578.3811
         0.1267         0.0000         0.0000         0.0000      2458.8261         0.0000      1586.9491
         0.1273         0.0000         0.0000         0.0000      2472.1026         0.0000      1595.5194
         0.1280         0.0000         0.0000         0.0000      2485.3829         0.0000      1604.0920
         0.1287         0.0000         0.0000         0.0000      2498.6668         0.0000      1612.6670
         0.1293         0.0000         0.0000         0.0000      2511.9544         0.0000      1621.2444
         0.1300         0.0000         0.0000         0.0000      2525.2456         0.0000      1629.8242
         0.1307         0.0000         0.0000         0.0000      2538.5405         0.0000      1638.4064
         0.1313         0.0000         0.0000         0.0000      2551.8391         0.0000      1646.9910
         0.1320         0.0000         0.0000         0.0000      2565.1413         0.0000      1655.5779
         0.1327         0.0000         0.0000         0.0000      2578.4471         0.0000      1664.1672
         0.1333         0.0000         0.0000         0.0000      2591.7568         0.0000      1672.7589
         0.1340         0.0000         0.0000         0.0000      2605.0700         0.0000      1681.3530
