 #  energy  real  imag
  0.000000000000000E+000   1.212059      0.0000000E+00
  6.666666666666666E-004   1.212115      0.0000000E+00
  1.333333333333333E-003   1.212172      0.0000000E+00
  2.000000000000000E-003   1.212229      0.0000000E+00
  2.666666666666667E-003   1.212286      0.0000000E+00
  3.333333333333334E-003   1.212343      0.0000000E+00
  4.000000000000000E-003   1.212399      0.0000000E+00
  4.666666666666667E-003   1.212456      0.0000000E+00
  5.333333333333333E-003   1.212513      0.0000000E+00
  6.000000000000000E-003   1.212570      0.0000000E+00
  6.666666666666667E-003   1.212627      0.0000000E+00
  7.333333333333333E-003   1.212685      0.0000000E+00
  8.000000000000000E-003   1.212741      0.0000000E+00
  8.666666666666666E-003   1.212799      0.0000000E+00
  9.333333333333334E-003   1.212856      0.0000000E+00
  1.000000000000000E-002   1.212913      0.0000000E+00
  1.066666666666667E-002   1.212970      0.0000000E+00
  1.133333333333333E-002   1.213027      0.0000000E+00
  1.200000000000000E-002   1.213085      0.0000000E+00
  1.266666666666667E-002   1.213142      0.0000000E+00
  1.333333333333333E-002   1.213199      0.0000000E+00
  1.400000000000000E-002   1.213257      0.0000000E+00
  1.466666666666667E-002   1.213314      0.0000000E+00
  1.533333333333333E-002   1.213372      0.0000000E+00
  1.600000000000000E-002   1.213429      0.0000000E+00
  1.666666666666667E-002   1.213487      0.0000000E+00
  1.733333333333333E-002   1.213544      0.0000000E+00
  1.800000000000000E-002   1.213602      0.0000000E+00
  1.866666666666667E-002   1.213659      0.0000000E+00
  1.933333333333333E-002   1.213717      0.0000000E+00
  2.000000000000000E-002   1.213775      0.0000000E+00
  2.066666666666667E-002   1.213832      0.0000000E+00
  2.133333333333333E-002   1.213890      0.0000000E+00
  2.200000000000000E-002   1.213948      0.0000000E+00
  2.266666666666667E-002   1.214006      0.0000000E+00
  2.333333333333333E-002   1.214063      0.0000000E+00
  2.400000000000000E-002   1.214121      0.0000000E+00
  2.466666666666667E-002   1.214179      0.0000000E+00
  2.533333333333333E-002   1.214237      0.0000000E+00
  2.600000000000000E-002   1.214295      0.0000000E+00
  2.666666666666667E-002   1.214353      0.0000000E+00
  2.733333333333333E-002   1.214411      0.0000000E+00
  2.800000000000000E-002   1.214469      0.0000000E+00
  2.866666666666667E-002   1.214527      0.0000000E+00
  2.933333333333333E-002   1.214585      0.0000000E+00
  3.000000000000000E-002   1.214643      0.0000000E+00
  3.066666666666666E-002   1.214702      0.0000000E+00
  3.133333333333333E-002   1.214760      0.0000000E+00
  3.200000000000000E-002   1.214818      0.0000000E+00
  3.266666666666666E-002   1.214876      0.0000000E+00
  3.333333333333333E-002   1.214935      0.0000000E+00
  3.400000000000000E-002   1.214993      0.0000000E+00
  3.466666666666667E-002   1.215051      0.0000000E+00
  3.533333333333333E-002   1.215110      0.0000000E+00
  3.600000000000000E-002   1.215168      0.0000000E+00
  3.666666666666667E-002   1.215227      0.0000000E+00
  3.733333333333334E-002   1.215285      0.0000000E+00
  3.800000000000000E-002   1.215344      0.0000000E+00
  3.866666666666667E-002   1.215402      0.0000000E+00
  3.933333333333333E-002   1.215461      0.0000000E+00
  4.000000000000000E-002   1.215520      0.0000000E+00
  4.066666666666666E-002   1.215578      0.0000000E+00
  4.133333333333333E-002   1.215637      0.0000000E+00
  4.200000000000000E-002   1.215696      0.0000000E+00
  4.266666666666667E-002   1.215755      0.0000000E+00
  4.333333333333333E-002   1.215813      0.0000000E+00
  4.400000000000000E-002   1.215872      0.0000000E+00
  4.466666666666667E-002   1.215931      0.0000000E+00
  4.533333333333334E-002   1.215990      0.0000000E+00
  4.600000000000000E-002   1.216049      0.0000000E+00
  4.666666666666667E-002   1.216108      0.0000000E+00
  4.733333333333333E-002   1.216167      0.0000000E+00
  4.800000000000000E-002   1.216226      0.0000000E+00
  4.866666666666666E-002   1.216285      0.0000000E+00
  4.933333333333333E-002   1.216344      0.0000000E+00
  5.000000000000000E-002   1.216403      0.0000000E+00
  5.066666666666667E-002   1.216462      0.0000000E+00
  5.133333333333333E-002   1.216522      0.0000000E+00
  5.200000000000000E-002   1.216581      0.0000000E+00
  5.266666666666667E-002   1.216640      0.0000000E+00
  5.333333333333334E-002   1.216699      0.0000000E+00
  5.400000000000000E-002   1.216759      0.0000000E+00
  5.466666666666667E-002   1.216818      0.0000000E+00
  5.533333333333333E-002   1.216878      0.0000000E+00
  5.600000000000000E-002   1.216937      0.0000000E+00
  5.666666666666666E-002   1.216997      0.0000000E+00
  5.733333333333333E-002   1.217056      0.0000000E+00
  5.800000000000000E-002   1.217116      0.0000000E+00
  5.866666666666667E-002   1.217175      0.0000000E+00
  5.933333333333334E-002   1.217235      0.0000000E+00
  6.000000000000000E-002   1.217294      0.0000000E+00
  6.066666666666667E-002   1.217354      0.0000000E+00
  6.133333333333333E-002   1.217414      0.0000000E+00
  6.200000000000000E-002   1.217474      0.0000000E+00
  6.266666666666666E-002   1.217533      0.0000000E+00
  6.333333333333334E-002   1.217593      0.0000000E+00
  6.400000000000000E-002   1.217653      0.0000000E+00
  6.466666666666666E-002   1.217713      0.0000000E+00
  6.533333333333333E-002   1.217773      0.0000000E+00
  6.600000000000000E-002   1.217833      0.0000000E+00
  6.666666666666667E-002   1.217893      0.0000000E+00
  6.733333333333333E-002   1.217953      0.0000000E+00
  6.800000000000000E-002   1.218013      0.0000000E+00
  6.866666666666667E-002   1.218073      0.0000000E+00
  6.933333333333333E-002   1.218133      0.0000000E+00
  7.000000000000001E-002   1.218193      0.0000000E+00
  7.066666666666667E-002   1.218253      0.0000000E+00
  7.133333333333333E-002   1.218314      0.0000000E+00
  7.199999999999999E-002   1.218374      0.0000000E+00
  7.266666666666667E-002   1.218434      0.0000000E+00
  7.333333333333333E-002   1.218495      0.0000000E+00
  7.400000000000000E-002   1.218555      0.0000000E+00
  7.466666666666667E-002   1.218615      0.0000000E+00
  7.533333333333334E-002   1.218676      0.0000000E+00
  7.600000000000000E-002   1.218736      0.0000000E+00
  7.666666666666666E-002   1.218797      0.0000000E+00
  7.733333333333334E-002   1.218857      0.0000000E+00
  7.800000000000000E-002   1.218918      0.0000000E+00
  7.866666666666666E-002   1.218978      0.0000000E+00
  7.933333333333334E-002   1.219039      0.0000000E+00
  8.000000000000000E-002   1.219100      0.0000000E+00
  8.066666666666666E-002   1.219160      0.0000000E+00
  8.133333333333333E-002   1.219221      0.0000000E+00
  8.200000000000000E-002   1.219282      0.0000000E+00
  8.266666666666667E-002   1.219343      0.0000000E+00
