 #  energy  real  imag
  0.000000000000000E+000   1.211072      0.0000000E+00
  6.666666666666666E-004   1.211127      0.0000000E+00
  1.333333333333333E-003   1.211182      0.0000000E+00
  2.000000000000000E-003   1.211237      0.0000000E+00
  2.666666666666667E-003   1.211292      0.0000000E+00
  3.333333333333334E-003   1.211347      0.0000000E+00
  4.000000000000000E-003   1.211402      0.0000000E+00
  4.666666666666667E-003   1.211457      0.0000000E+00
  5.333333333333333E-003   1.211512      0.0000000E+00
  6.000000000000000E-003   1.211567      0.0000000E+00
  6.666666666666667E-003   1.211622      0.0000000E+00
  7.333333333333333E-003   1.211677      0.0000000E+00
  8.000000000000000E-003   1.211732      0.0000000E+00
  8.666666666666666E-003   1.211787      0.0000000E+00
  9.333333333333334E-003   1.211843      0.0000000E+00
  1.000000000000000E-002   1.211898      0.0000000E+00
  1.066666666666667E-002   1.211953      0.0000000E+00
  1.133333333333333E-002   1.212008      0.0000000E+00
  1.200000000000000E-002   1.212064      0.0000000E+00
  1.266666666666667E-002   1.212119      0.0000000E+00
  1.333333333333333E-002   1.212175      0.0000000E+00
  1.400000000000000E-002   1.212230      0.0000000E+00
  1.466666666666667E-002   1.212286      0.0000000E+00
  1.533333333333333E-002   1.212341      0.0000000E+00
  1.600000000000000E-002   1.212397      0.0000000E+00
  1.666666666666667E-002   1.212452      0.0000000E+00
  1.733333333333333E-002   1.212508      0.0000000E+00
  1.800000000000000E-002   1.212563      0.0000000E+00
  1.866666666666667E-002   1.212619      0.0000000E+00
  1.933333333333333E-002   1.212675      0.0000000E+00
  2.000000000000000E-002   1.212730      0.0000000E+00
  2.066666666666667E-002   1.212786      0.0000000E+00
  2.133333333333333E-002   1.212842      0.0000000E+00
  2.200000000000000E-002   1.212898      0.0000000E+00
  2.266666666666667E-002   1.212954      0.0000000E+00
  2.333333333333333E-002   1.213009      0.0000000E+00
  2.400000000000000E-002   1.213065      0.0000000E+00
  2.466666666666667E-002   1.213121      0.0000000E+00
  2.533333333333333E-002   1.213177      0.0000000E+00
  2.600000000000000E-002   1.213233      0.0000000E+00
  2.666666666666667E-002   1.213289      0.0000000E+00
  2.733333333333333E-002   1.213345      0.0000000E+00
  2.800000000000000E-002   1.213401      0.0000000E+00
  2.866666666666667E-002   1.213457      0.0000000E+00
  2.933333333333333E-002   1.213514      0.0000000E+00
  3.000000000000000E-002   1.213570      0.0000000E+00
  3.066666666666666E-002   1.213626      0.0000000E+00
  3.133333333333333E-002   1.213682      0.0000000E+00
  3.200000000000000E-002   1.213738      0.0000000E+00
  3.266666666666666E-002   1.213795      0.0000000E+00
  3.333333333333333E-002   1.213851      0.0000000E+00
  3.400000000000000E-002   1.213907      0.0000000E+00
  3.466666666666667E-002   1.213964      0.0000000E+00
  3.533333333333333E-002   1.214020      0.0000000E+00
  3.600000000000000E-002   1.214077      0.0000000E+00
  3.666666666666667E-002   1.214133      0.0000000E+00
  3.733333333333334E-002   1.214190      0.0000000E+00
  3.800000000000000E-002   1.214246      0.0000000E+00
  3.866666666666667E-002   1.214303      0.0000000E+00
  3.933333333333333E-002   1.214359      0.0000000E+00
