 #  energy  real  imag
  0.000000000000000E+000   1.211438      0.0000000E+00
  6.666666666666666E-004   1.211492      0.0000000E+00
  1.333333333333333E-003   1.211547      0.0000000E+00
  2.000000000000000E-003   1.211601      0.0000000E+00
  2.666666666666667E-003   1.211656      0.0000000E+00
  3.333333333333334E-003   1.211711      0.0000000E+00
  4.000000000000000E-003   1.211765      0.0000000E+00
  4.666666666666667E-003   1.211820      0.0000000E+00
  5.333333333333333E-003   1.211875      0.0000000E+00
  6.000000000000000E-003   1.211930      0.0000000E+00
  6.666666666666667E-003   1.211985      0.0000000E+00
  7.333333333333333E-003   1.212039      0.0000000E+00
  8.000000000000000E-003   1.212094      0.0000000E+00
  8.666666666666666E-003   1.212149      0.0000000E+00
  9.333333333333334E-003   1.212204      0.0000000E+00
  1.000000000000000E-002   1.212259      0.0000000E+00
  1.066666666666667E-002   1.212314      0.0000000E+00
  1.133333333333333E-002   1.212369      0.0000000E+00
  1.200000000000000E-002   1.212424      0.0000000E+00
  1.266666666666667E-002   1.212479      0.0000000E+00
  1.333333333333333E-002   1.212535      0.0000000E+00
  1.400000000000000E-002   1.212590      0.0000000E+00
  1.466666666666667E-002   1.212645      0.0000000E+00
  1.533333333333333E-002   1.212700      0.0000000E+00
  1.600000000000000E-002   1.212755      0.0000000E+00
  1.666666666666667E-002   1.212811      0.0000000E+00
  1.733333333333333E-002   1.212866      0.0000000E+00
  1.800000000000000E-002   1.212921      0.0000000E+00
  1.866666666666667E-002   1.212977      0.0000000E+00
  1.933333333333333E-002   1.213032      0.0000000E+00
  2.000000000000000E-002   1.213088      0.0000000E+00
  2.066666666666667E-002   1.213143      0.0000000E+00
  2.133333333333333E-002   1.213199      0.0000000E+00
  2.200000000000000E-002   1.213254      0.0000000E+00
  2.266666666666667E-002   1.213310      0.0000000E+00
  2.333333333333333E-002   1.213365      0.0000000E+00
  2.400000000000000E-002   1.213421      0.0000000E+00
  2.466666666666667E-002   1.213476      0.0000000E+00
  2.533333333333333E-002   1.213532      0.0000000E+00
  2.600000000000000E-002   1.213588      0.0000000E+00
  2.666666666666667E-002   1.213644      0.0000000E+00
  2.733333333333333E-002   1.213699      0.0000000E+00
  2.800000000000000E-002   1.213755      0.0000000E+00
  2.866666666666667E-002   1.213811      0.0000000E+00
  2.933333333333333E-002   1.213867      0.0000000E+00
  3.000000000000000E-002   1.213923      0.0000000E+00
  3.066666666666666E-002   1.213979      0.0000000E+00
  3.133333333333333E-002   1.214034      0.0000000E+00
  3.200000000000000E-002   1.214090      0.0000000E+00
  3.266666666666666E-002   1.214146      0.0000000E+00
  3.333333333333333E-002   1.214203      0.0000000E+00
  3.400000000000000E-002   1.214259      0.0000000E+00
  3.466666666666667E-002   1.214315      0.0000000E+00
  3.533333333333333E-002   1.214371      0.0000000E+00
  3.600000000000000E-002   1.214427      0.0000000E+00
  3.666666666666667E-002   1.214483      0.0000000E+00
  3.733333333333334E-002   1.214539      0.0000000E+00
  3.800000000000000E-002   1.214596      0.0000000E+00
  3.866666666666667E-002   1.214652      0.0000000E+00
