 #  energy  real  imag
  0.000000000000000E+000   1.001839      0.0000000E+00
  6.666666666666666E-004   1.001840      0.0000000E+00
  1.333333333333333E-003   1.001840      0.0000000E+00
  2.000000000000000E-003   1.001841      0.0000000E+00
  2.666666666666667E-003   1.001841      0.0000000E+00
  3.333333333333334E-003   1.001842      0.0000000E+00
  4.000000000000000E-003   1.001842      0.0000000E+00
  4.666666666666667E-003   1.001843      0.0000000E+00
  5.333333333333333E-003   1.001843      0.0000000E+00
  6.000000000000000E-003   1.001844      0.0000000E+00
  6.666666666666667E-003   1.001844      0.0000000E+00
  7.333333333333333E-003   1.001844      0.0000000E+00
  8.000000000000000E-003   1.001845      0.0000000E+00
  8.666666666666666E-003   1.001845      0.0000000E+00
  9.333333333333334E-003   1.001846      0.0000000E+00
  1.000000000000000E-002   1.001846      0.0000000E+00
  1.066666666666667E-002   1.001847      0.0000000E+00
  1.133333333333333E-002   1.001847      0.0000000E+00
  1.200000000000000E-002   1.001848      0.0000000E+00
  1.266666666666667E-002   1.001848      0.0000000E+00
  1.333333333333333E-002   1.001849      0.0000000E+00
  1.400000000000000E-002   1.001849      0.0000000E+00
  1.466666666666667E-002   1.001849      0.0000000E+00
  1.533333333333333E-002   1.001850      0.0000000E+00
  1.600000000000000E-002   1.001850      0.0000000E+00
  1.666666666666667E-002   1.001851      0.0000000E+00
  1.733333333333333E-002   1.001851      0.0000000E+00
  1.800000000000000E-002   1.001852      0.0000000E+00
  1.866666666666667E-002   1.001852      0.0000000E+00
  1.933333333333333E-002   1.001853      0.0000000E+00
  2.000000000000000E-002   1.001853      0.0000000E+00
  2.066666666666667E-002   1.001854      0.0000000E+00
  2.133333333333333E-002   1.001854      0.0000000E+00
  2.200000000000000E-002   1.001855      0.0000000E+00
  2.266666666666667E-002   1.001855      0.0000000E+00
  2.333333333333333E-002   1.001855      0.0000000E+00
  2.400000000000000E-002   1.001856      0.0000000E+00
  2.466666666666667E-002   1.001856      0.0000000E+00
  2.533333333333333E-002   1.001857      0.0000000E+00
  2.600000000000000E-002   1.001857      0.0000000E+00
  2.666666666666667E-002   1.001858      0.0000000E+00
  2.733333333333333E-002   1.001858      0.0000000E+00
  2.800000000000000E-002   1.001859      0.0000000E+00
  2.866666666666667E-002   1.001859      0.0000000E+00
  2.933333333333333E-002   1.001860      0.0000000E+00
  3.000000000000000E-002   1.001860      0.0000000E+00
  3.066666666666666E-002   1.001860      0.0000000E+00
  3.133333333333333E-002   1.001861      0.0000000E+00
  3.200000000000000E-002   1.001861      0.0000000E+00
  3.266666666666666E-002   1.001862      0.0000000E+00
  3.333333333333333E-002   1.001862      0.0000000E+00
  3.400000000000000E-002   1.001863      0.0000000E+00
  3.466666666666667E-002   1.001863      0.0000000E+00
  3.533333333333333E-002   1.001864      0.0000000E+00
  3.600000000000000E-002   1.001864      0.0000000E+00
  3.666666666666667E-002   1.001865      0.0000000E+00
  3.733333333333334E-002   1.001865      0.0000000E+00
  3.800000000000000E-002   1.001866      0.0000000E+00
  3.866666666666667E-002   1.001866      0.0000000E+00
  3.933333333333333E-002   1.001867      0.0000000E+00
  4.000000000000000E-002   1.001867      0.0000000E+00
  4.066666666666666E-002   1.001868      0.0000000E+00
  4.133333333333333E-002   1.001868      0.0000000E+00
  4.200000000000000E-002   1.001868      0.0000000E+00
  4.266666666666667E-002   1.001869      0.0000000E+00
  4.333333333333333E-002   1.001869      0.0000000E+00
  4.400000000000000E-002   1.001870      0.0000000E+00
  4.466666666666667E-002   1.001870      0.0000000E+00
  4.533333333333334E-002   1.001871      0.0000000E+00
  4.600000000000000E-002   1.001871      0.0000000E+00
  4.666666666666667E-002   1.001872      0.0000000E+00
  4.733333333333333E-002   1.001872      0.0000000E+00
  4.800000000000000E-002   1.001873      0.0000000E+00
  4.866666666666666E-002   1.001873      0.0000000E+00
  4.933333333333333E-002   1.001874      0.0000000E+00
  5.000000000000000E-002   1.001874      0.0000000E+00
  5.066666666666667E-002   1.001875      0.0000000E+00
  5.133333333333333E-002   1.001875      0.0000000E+00
  5.200000000000000E-002   1.001876      0.0000000E+00
  5.266666666666667E-002   1.001876      0.0000000E+00
  5.333333333333334E-002   1.001876      0.0000000E+00
  5.400000000000000E-002   1.001877      0.0000000E+00
  5.466666666666667E-002   1.001877      0.0000000E+00
  5.533333333333333E-002   1.001878      0.0000000E+00
  5.600000000000000E-002   1.001878      0.0000000E+00
  5.666666666666666E-002   1.001879      0.0000000E+00
  5.733333333333333E-002   1.001879      0.0000000E+00
  5.800000000000000E-002   1.001880      0.0000000E+00
  5.866666666666667E-002   1.001880      0.0000000E+00
  5.933333333333334E-002   1.001881      0.0000000E+00
  6.000000000000000E-002   1.001881      0.0000000E+00
  6.066666666666667E-002   1.001882      0.0000000E+00
  6.133333333333333E-002   1.001882      0.0000000E+00
  6.200000000000000E-002   1.001883      0.0000000E+00
  6.266666666666666E-002   1.001883      0.0000000E+00
  6.333333333333334E-002   1.001884      0.0000000E+00
