 #  energy  real  imag
  0.000000000000000E+000   1.211693      0.0000000E+00
  6.666666666666666E-004   1.211750      0.0000000E+00
  1.333333333333333E-003   1.211807      0.0000000E+00
  2.000000000000000E-003   1.211864      0.0000000E+00
  2.666666666666667E-003   1.211921      0.0000000E+00
  3.333333333333334E-003   1.211978      0.0000000E+00
  4.000000000000000E-003   1.212035      0.0000000E+00
  4.666666666666667E-003   1.212093      0.0000000E+00
  5.333333333333333E-003   1.212150      0.0000000E+00
  6.000000000000000E-003   1.212207      0.0000000E+00
  6.666666666666667E-003   1.212264      0.0000000E+00
  7.333333333333333E-003   1.212322      0.0000000E+00
  8.000000000000000E-003   1.212379      0.0000000E+00
  8.666666666666666E-003   1.212437      0.0000000E+00
  9.333333333333334E-003   1.212494      0.0000000E+00
  1.000000000000000E-002   1.212551      0.0000000E+00
  1.066666666666667E-002   1.212609      0.0000000E+00
  1.133333333333333E-002   1.212666      0.0000000E+00
  1.200000000000000E-002   1.212724      0.0000000E+00
  1.266666666666667E-002   1.212782      0.0000000E+00
  1.333333333333333E-002   1.212839      0.0000000E+00
  1.400000000000000E-002   1.212897      0.0000000E+00
  1.466666666666667E-002   1.212955      0.0000000E+00
  1.533333333333333E-002   1.213012      0.0000000E+00
  1.600000000000000E-002   1.213070      0.0000000E+00
  1.666666666666667E-002   1.213128      0.0000000E+00
  1.733333333333333E-002   1.213186      0.0000000E+00
  1.800000000000000E-002   1.213243      0.0000000E+00
  1.866666666666667E-002   1.213301      0.0000000E+00
  1.933333333333333E-002   1.213359      0.0000000E+00
  2.000000000000000E-002   1.213417      0.0000000E+00
  2.066666666666667E-002   1.213475      0.0000000E+00
  2.133333333333333E-002   1.213533      0.0000000E+00
  2.200000000000000E-002   1.213591      0.0000000E+00
  2.266666666666667E-002   1.213649      0.0000000E+00
  2.333333333333333E-002   1.213707      0.0000000E+00
  2.400000000000000E-002   1.213766      0.0000000E+00
  2.466666666666667E-002   1.213824      0.0000000E+00
  2.533333333333333E-002   1.213882      0.0000000E+00
  2.600000000000000E-002   1.213940      0.0000000E+00
  2.666666666666667E-002   1.213998      0.0000000E+00
  2.733333333333333E-002   1.214057      0.0000000E+00
  2.800000000000000E-002   1.214115      0.0000000E+00
  2.866666666666667E-002   1.214173      0.0000000E+00
  2.933333333333333E-002   1.214232      0.0000000E+00
  3.000000000000000E-002   1.214290      0.0000000E+00
  3.066666666666666E-002   1.214349      0.0000000E+00
  3.133333333333333E-002   1.214407      0.0000000E+00
  3.200000000000000E-002   1.214466      0.0000000E+00
  3.266666666666666E-002   1.214524      0.0000000E+00
  3.333333333333333E-002   1.214583      0.0000000E+00
  3.400000000000000E-002   1.214642      0.0000000E+00
  3.466666666666667E-002   1.214700      0.0000000E+00
  3.533333333333333E-002   1.214759      0.0000000E+00
  3.600000000000000E-002   1.214818      0.0000000E+00
  3.666666666666667E-002   1.214877      0.0000000E+00
  3.733333333333334E-002   1.214935      0.0000000E+00
  3.800000000000000E-002   1.214994      0.0000000E+00
  3.866666666666667E-002   1.215053      0.0000000E+00
  3.933333333333333E-002   1.215112      0.0000000E+00
  4.000000000000000E-002   1.215171      0.0000000E+00
  4.066666666666666E-002   1.215230      0.0000000E+00
  4.133333333333333E-002   1.215289      0.0000000E+00
  4.200000000000000E-002   1.215348      0.0000000E+00
  4.266666666666667E-002   1.215407      0.0000000E+00
  4.333333333333333E-002   1.215466      0.0000000E+00
  4.400000000000000E-002   1.215525      0.0000000E+00
  4.466666666666667E-002   1.215584      0.0000000E+00
  4.533333333333334E-002   1.215644      0.0000000E+00
  4.600000000000000E-002   1.215703      0.0000000E+00
  4.666666666666667E-002   1.215762      0.0000000E+00
  4.733333333333333E-002   1.215821      0.0000000E+00
  4.800000000000000E-002   1.215881      0.0000000E+00
  4.866666666666666E-002   1.215940      0.0000000E+00
  4.933333333333333E-002   1.215999      0.0000000E+00
  5.000000000000000E-002   1.216059      0.0000000E+00
  5.066666666666667E-002   1.216118      0.0000000E+00
  5.133333333333333E-002   1.216178      0.0000000E+00
  5.200000000000000E-002   1.216237      0.0000000E+00
