 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0023         0.0023         0.0000         1.0000         0.6686         1.0000
         0.0007         0.0023         0.0023         0.0000         1.0000         0.6686         1.0000
         0.0013         0.0023         0.0023         0.0000         1.0000         0.6685         1.0000
         0.0020         0.0023         0.0023         0.0000         1.0000         0.6685         1.0000
         0.0027         0.0023         0.0023         0.0000         1.0000         0.6685         1.0000
         0.0033         0.0023         0.0023         0.0000         1.0000         0.6684         1.0000
         0.0040         0.0023         0.0023         0.0000         1.0000         0.6684         1.0000
         0.0047         0.0023         0.0023         0.0000         1.0000         0.6683         1.0000
         0.0053         0.0023         0.0023         0.0000         1.0000         0.6683         1.0000
         0.0060         0.0023         0.0023         0.0000         1.0000         0.6683         1.0000
         0.0067         0.0023         0.0023         0.0000         1.0000         0.6682         1.0000
         0.0073         0.0023         0.0023         0.0000         1.0000         0.6682         1.0000
         0.0080         0.0023         0.0023         0.0000         1.0000         0.6682         1.0000
         0.0087         0.0023         0.0023         0.0000         1.0000         0.6681         1.0000
         0.0093         0.0023         0.0023         0.0000         1.0000         0.6681         1.0000
         0.0100         0.0023         0.0023         0.0000         1.0000         0.6681         1.0000
         0.0107         0.0023         0.0023         0.0000         1.0000         0.6680         1.0000
         0.0113         0.0023         0.0023         0.0000         1.0000         0.6680         1.0000
         0.0120         0.0023         0.0023         0.0000         1.0000         0.6680         1.0000
         0.0127         0.0023         0.0023         0.0000         1.0000         0.6679         1.0000
         0.0133         0.0023         0.0023         0.0000         1.0000         0.6679         1.0000
         0.0140         0.0023         0.0023         0.0000         1.0000         0.6678         1.0000
         0.0147         0.0023         0.0023         0.0000         1.0000         0.6678         1.0000
         0.0153         0.0023         0.0023         0.0000         1.0000         0.6678         1.0000
         0.0160         0.0023         0.0023         0.0000         1.0000         0.6677         1.0000
         0.0167         0.0023         0.0023         0.0000         1.0000         0.6677         1.0000
         0.0173         0.0023         0.0023         0.0000         1.0000         0.6677         1.0000
         0.0180         0.0023         0.0023         0.0000         1.0000         0.6676         1.0000
         0.0187         0.0023         0.0023         0.0000         1.0000         0.6676         1.0000
         0.0193         0.0023         0.0023         0.0000         1.0000         0.6676         1.0000
         0.0200         0.0023         0.0023         0.0000         1.0000         0.6675         1.0000
         0.0207         0.0023         0.0023         0.0000         1.0000         0.6675         1.0000
         0.0213         0.0023         0.0023         0.0000         1.0000         0.6674         1.0000
         0.0220         0.0023         0.0023         0.0000         1.0000         0.6674         1.0000
         0.0227         0.0023         0.0023         0.0000         1.0000         0.6674         1.0000
         0.0233         0.0023         0.0023         0.0000         1.0000         0.6673         1.0000
         0.0240         0.0023         0.0023         0.0000         1.0000         0.6673         1.0000
         0.0247         0.0023         0.0023         0.0000         1.0000         0.6673         1.0000
         0.0253         0.0023         0.0023         0.0000         1.0000         0.6672         1.0000
         0.0260         0.0023         0.0023         0.0000         1.0000         0.6672         1.0000
         0.0267         0.0023         0.0023         0.0000         1.0000         0.6672         1.0000
         0.0273         0.0023         0.0023         0.0000         1.0000         0.6671         1.0000
         0.0280         0.0023         0.0023         0.0000         1.0000         0.6671         1.0000
         0.0287         0.0024         0.0023         0.0000         1.0000         0.6670         1.0000
         0.0293         0.0024         0.0023         0.0000         1.0000         0.6670         1.0000
         0.0300         0.0024         0.0023         0.0000         1.0000         0.6670         1.0000
         0.0307         0.0024         0.0023         0.0000         1.0000         0.6669         1.0000
         0.0313         0.0024         0.0023         0.0000         1.0000         0.6669         1.0000
         0.0320         0.0024         0.0023         0.0000         1.0000         0.6669         1.0000
         0.0327         0.0024         0.0023         0.0000         1.0000         0.6668         1.0000
         0.0333         0.0024         0.0024         0.0000         1.0000         0.6668         1.0000
         0.0340         0.0024         0.0024         0.0000         1.0000         0.6668         1.0000
         0.0347         0.0024         0.0024         0.0000         1.0000         0.6667         1.0000
         0.0353         0.0024         0.0024         0.0000         1.0000         0.6667         1.0000
         0.0360         0.0024         0.0024         0.0000         1.0000         0.6666         1.0000
         0.0367         0.0024         0.0024         0.0000         1.0000         0.6666         1.0000
         0.0373         0.0024         0.0024         0.0000         1.0000         0.6666         1.0000
         0.0380         0.0024         0.0024         0.0000         1.0000         0.6665         1.0000
         0.0387         0.0024         0.0024         0.0000         1.0000         0.6665         1.0000
         0.0393         0.0024         0.0024         0.0000         1.0000         0.6665         1.0000
         0.0400         0.0024         0.0024         0.0000         1.0000         0.6664         1.0000
         0.0407         0.0024         0.0024         0.0000         1.0000         0.6664         1.0000
         0.0413         0.0024         0.0024         0.0000         1.0000         0.6664         1.0000
         0.0420         0.0024         0.0024         0.0000         1.0000         0.6663         1.0000
         0.0427         0.0024         0.0024         0.0000         1.0000         0.6663         1.0000
         0.0433         0.0024         0.0024         0.0000         1.0000         0.6662         1.0000
         0.0440         0.0024         0.0024         0.0000         1.0000         0.6662         1.0000
         0.0447         0.0024         0.0024         0.0000         1.0000         0.6662         1.0000
         0.0453         0.0024         0.0024         0.0000         1.0000         0.6661         1.0000
         0.0460         0.0024         0.0024         0.0000         1.0000         0.6661         1.0000
         0.0467         0.0024         0.0024         0.0000         1.0000         0.6661         1.0000
         0.0473         0.0024         0.0024         0.0000         1.0000         0.6660         1.0000
         0.0480         0.0024         0.0024         0.0000         1.0000         0.6660         1.0000
         0.0487         0.0024         0.0024         0.0000         1.0000         0.6660         1.0000
         0.0493         0.0024         0.0024         0.0000         1.0000         0.6659         1.0000
         0.0500         0.0024         0.0024         0.0000         1.0000         0.6659         1.0000
         0.0507         0.0024         0.0024         0.0000         1.0000         0.6658         1.0000
         0.0513         0.0024         0.0024         0.0000         1.0000         0.6658         1.0000
         0.0520         0.0024         0.0024         0.0000         1.0000         0.6658         1.0000
         0.0527         0.0024         0.0024         0.0000         1.0000         0.6657         1.0000
         0.0533         0.0024         0.0024         0.0000         1.0000         0.6657         1.0000
         0.0540         0.0024         0.0024         0.0000         1.0000         0.6657         1.0000
         0.0547         0.0024         0.0024         0.0000         1.0000         0.6656         1.0000
         0.0553         0.0024         0.0024         0.0000         1.0000         0.6656         1.0000
         0.0560         0.0024         0.0024         0.0000         1.0000         0.6655         1.0000
         0.0567         0.0024         0.0024         0.0000         1.0000         0.6655         1.0000
         0.0573         0.0024         0.0024         0.0000         1.0000         0.6655         1.0000
         0.0580         0.0024         0.0024         0.0000         1.0000         0.6654         1.0000
         0.0587         0.0024         0.0024         0.0000         1.0000         0.6654         1.0000
         0.0593         0.0024         0.0024         0.0000         1.0000         0.6654         1.0000
         0.0600         0.0024         0.0024         0.0000         1.0000         0.6653         1.0000
         0.0607         0.0024         0.0024         0.0000         1.0000         0.6653         1.0000
         0.0613         0.0024         0.0024         0.0000         1.0000         0.6653         1.0000
         0.0620         0.0024         0.0024         0.0000         1.0000         0.6652         1.0000
         0.0627         0.0024         0.0024         0.0000         1.0000         0.6652         1.0000
         0.0633         0.0024         0.0024         0.0000         1.0000         0.6651         1.0000
         0.0640         0.0024         0.0024         0.0000         1.0000         0.6651         1.0000
         0.0647         0.0024         0.0024         0.0000         1.0000         0.6651         1.0000
         0.0653         0.0024         0.0024         0.0000         1.0000         0.6650         1.0000
         0.0660         0.0024         0.0024         0.0000         1.0000         0.6650         1.0000
         0.0667         0.0024         0.0024         0.0000         1.0000         0.6650         1.0000
         0.0673         0.0024         0.0024         0.0000         1.0000         0.6649         1.0000
         0.0680         0.0024         0.0024         0.0000         1.0000         0.6649         1.0000
         0.0687         0.0024         0.0024         0.0000         1.0000         0.6648         1.0000
         0.0693         0.0024         0.0024         0.0000         1.0000         0.6648         1.0000
         0.0700         0.0024         0.0024         0.0000         1.0000         0.6648         1.0000
         0.0707         0.0024         0.0024         0.0000         1.0000         0.6647         1.0000
         0.0713         0.0024         0.0024         0.0000         1.0000         0.6647         1.0000
         0.0720         0.0024         0.0024         0.0000         1.0000         0.6647         1.0000
         0.0727         0.0024         0.0024         0.0000         1.0000         0.6646         1.0000
         0.0733         0.0024         0.0024         0.0000         1.0000         0.6646         1.0000
         0.0740         0.0024         0.0024         0.0000         1.0000         0.6645         1.0000
         0.0747         0.0024         0.0024         0.0000         1.0000         0.6645         1.0000
         0.0753         0.0024         0.0024         0.0000         1.0000         0.6645         1.0000
         0.0760         0.0024         0.0024         0.0000         1.0000         0.6644         1.0000
         0.0767         0.0024         0.0024         0.0000         1.0000         0.6644         1.0000
         0.0773         0.0024         0.0024         0.0000         1.0000         0.6644         1.0000
         0.0780         0.0024         0.0024         0.0000         1.0000         0.6643         1.0000
         0.0787         0.0024         0.0024         0.0000         1.0000         0.6643         1.0000
         0.0793         0.0024         0.0024         0.0000         1.0000         0.6642         1.0000
         0.0800         0.0024         0.0024         0.0000         1.0000         0.6642         1.0000
         0.0807         0.0024         0.0024         0.0000         1.0000         0.6642         1.0000
         0.0813         0.0024         0.0024         0.0000         1.0000         0.6641         1.0000
         0.0820         0.0024         0.0024         0.0000         1.0000         0.6641         1.0000
         0.0827         0.0024         0.0024         0.0000         1.0000         0.6641         1.0000
         0.0833         0.0024         0.0024         0.0000         1.0000         0.6640         1.0000
         0.0840         0.0024         0.0024         0.0000         1.0000         0.6640         1.0000
         0.0847         0.0025         0.0024         0.0000         1.0000         0.6639         1.0000
         0.0853         0.0025         0.0024         0.0000         1.0000         0.6639         1.0000
         0.0860         0.0025         0.0024         0.0000         1.0000         0.6639         1.0000
         0.0867         0.0025         0.0024         0.0000         1.0000         0.6638         1.0000
         0.0873         0.0025         0.0024         0.0000         1.0000         0.6638         1.0000
         0.0880         0.0025         0.0024         0.0000         1.0000         0.6638         1.0000
         0.0887         0.0025         0.0024         0.0000         1.0000         0.6637         1.0000
         0.0893         0.0025         0.0024         0.0000         1.0000         0.6637         1.0000
         0.0900         0.0025         0.0024         0.0000         1.0000         0.6636         1.0000
         0.0907         0.0025         0.0024         0.0000         1.0000         0.6636         1.0000
         0.0913         0.0025         0.0025         0.0000         1.0000         0.6636         1.0000
         0.0920         0.0025         0.0025         0.0000         1.0000         0.6635         1.0000
         0.0927         0.0025         0.0025         0.0000         1.0000         0.6635         1.0000
         0.0933         0.0025         0.0025         0.0000         1.0000         0.6635         1.0000
         0.0940         0.0025         0.0025         0.0000         1.0000         0.6634         1.0000
         0.0947         0.0025         0.0025         0.0000         1.0000         0.6634         1.0000
         0.0953         0.0025         0.0025         0.0000         1.0000         0.6633         1.0000
         0.0960         0.0025         0.0025         0.0000         1.0000         0.6633         1.0000
         0.0967         0.0025         0.0025         0.0000         1.0000         0.6633         1.0000
         0.0973         0.0025         0.0025         0.0000         1.0000         0.6632         1.0000
         0.0980         0.0025         0.0025         0.0000         1.0000         0.6632         1.0000
         0.0987         0.0025         0.0025         0.0000         1.0000         0.6632         1.0000
         0.0993         0.0025         0.0025         0.0000         1.0000         0.6631         1.0000
         0.1000         0.0025         0.0025         0.0000         1.0000         0.6631         1.0000
         0.1007         0.0025         0.0025         0.0000         1.0000         0.6630         1.0000
         0.1013         0.0025         0.0025         0.0000         1.0000         0.6630         1.0000
         0.1020         0.0025         0.0025         0.0000         1.0000         0.6630         1.0000
         0.1027         0.0025         0.0025         0.0000         1.0000         0.6629         1.0000
         0.1033         0.0025         0.0025         0.0000         1.0000         0.6629         1.0000
         0.1040         0.0025         0.0025         0.0000         1.0000         0.6629         1.0000
         0.1047         0.0025         0.0025         0.0000         1.0000         0.6628         1.0000
         0.1053         0.0025         0.0025         0.0000         1.0000         0.6628         1.0000
         0.1060         0.0025         0.0025         0.0000         1.0000         0.6627         1.0000
         0.1067         0.0025         0.0025         0.0000         1.0000         0.6627         1.0000
         0.1073         0.0025         0.0025         0.0000         1.0000         0.6627         1.0000
         0.1080         0.0025         0.0025         0.0000         1.0000         0.6626         1.0000
         0.1087         0.0025         0.0025         0.0000         1.0000         0.6626         1.0000
         0.1093         0.0025         0.0025         0.0000         1.0000         0.6625         1.0000
         0.1100         0.0025         0.0025         0.0000         1.0000         0.6625         1.0000
         0.1107         0.0025         0.0025         0.0000         1.0000         0.6625         1.0000
         0.1113         0.0025         0.0025         0.0000         1.0000         0.6624         1.0000
         0.1120         0.0025         0.0025         0.0000         1.0000         0.6624         1.0000
         0.1127         0.0025         0.0025         0.0000         1.0000         0.6624         1.0000
         0.1133         0.0025         0.0025         0.0000         1.0000         0.6623         1.0000
         0.1140         0.0025         0.0025         0.0000         1.0000         0.6623         1.0000
         0.1147         0.0025         0.0025         0.0000         1.0000         0.6622         1.0000
         0.1153         0.0025         0.0025         0.0000         1.0000         0.6622         1.0000
         0.1160         0.0025         0.0025         0.0000         1.0000         0.6622         1.0000
         0.1167         0.0025         0.0025         0.0000         1.0000         0.6621         1.0000
         0.1173         0.0025         0.0025         0.0000         1.0000         0.6621         1.0000
         0.1180         0.0025         0.0025         0.0000         1.0000         0.6621         1.0000
         0.1187         0.0025         0.0025         0.0000         1.0000         0.6620         1.0000
         0.1193         0.0025         0.0025         0.0000         1.0000         0.6620         1.0000
         0.1200         0.0025         0.0025         0.0000         1.0000         0.6619         1.0000
         0.1207         0.0025         0.0025         0.0000         1.0000         0.6619         1.0000
         0.1213         0.0025         0.0025         0.0000         1.0000         0.6619         1.0000
         0.1220         0.0025         0.0025         0.0000         1.0000         0.6618         1.0000
         0.1227         0.0025         0.0025         0.0000         1.0000         0.6618         1.0000
         0.1233         0.0025         0.0025         0.0000         1.0000         0.6617         1.0000
         0.1240         0.0025         0.0025         0.0000         1.0000         0.6617         1.0000
         0.1247         0.0025         0.0025         0.0000         1.0000         0.6617         1.0000
         0.1253         0.0025         0.0025         0.0000         1.0000         0.6616         1.0000
         0.1260         0.0025         0.0025         0.0000         1.0000         0.6616         1.0000
         0.1267         0.0025         0.0025         0.0000         1.0000         0.6616         1.0000
         0.1273         0.0025         0.0025         0.0000         1.0000         0.6615         1.0000
         0.1280         0.0025         0.0025         0.0000         1.0000         0.6615         1.0000
         0.1287         0.0025         0.0025         0.0000         1.0000         0.6614         1.0000
