 #  energy  xx  yy  zz  xy  xz  yz
         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000         0.0000
         0.0007         0.0000         0.0000         0.0000        12.6475         0.0000         7.8874
         0.0013         0.0000         0.0000         0.0000        25.2981         0.0000        15.7767
         0.0020         0.0000         0.0000         0.0000        37.9520         0.0000        23.6679
         0.0027         0.0000         0.0000         0.0000        50.6090         0.0000        31.5610
         0.0033         0.0000         0.0000         0.0000        63.2693         0.0000        39.4560
         0.0040         0.0000         0.0000         0.0000        75.9328         0.0000        47.3529
         0.0047         0.0000         0.0000         0.0000        88.5994         0.0000        55.2517
         0.0053         0.0000         0.0000         0.0000       101.2693         0.0000        63.1525
         0.0060         0.0000         0.0000         0.0000       113.9424         0.0000        71.0551
         0.0067         0.0000         0.0000         0.0000       126.6187         0.0000        78.9597
         0.0073         0.0000         0.0000         0.0000       139.2982         0.0000        86.8662
         0.0080         0.0000         0.0000         0.0000       151.9809         0.0000        94.7746
         0.0087         0.0000         0.0000         0.0000       164.6669         0.0000       102.6849
         0.0093         0.0000         0.0000         0.0000       177.3561         0.0000       110.5971
         0.0100         0.0000         0.0000         0.0000       190.0485         0.0000       118.5113
         0.0107         0.0000         0.0000         0.0000       202.7441         0.0000       126.4274
         0.0113         0.0000         0.0000         0.0000       215.4429         0.0000       134.3453
         0.0120         0.0000         0.0000         0.0000       228.1450         0.0000       142.2653
         0.0127         0.0000         0.0000         0.0000       240.8503         0.0000       150.1871
         0.0133         0.0000         0.0000         0.0000       253.5588         0.0000       158.1108
         0.0140         0.0000         0.0000         0.0000       266.2705         0.0000       166.0365
         0.0147         0.0000         0.0000         0.0000       278.9855         0.0000       173.9641
         0.0153         0.0000         0.0000         0.0000       291.7038         0.0000       181.8937
         0.0160         0.0000         0.0000         0.0000       304.4252         0.0000       189.8251
         0.0167         0.0000         0.0000         0.0000       317.1499         0.0000       197.7585
         0.0173         0.0000         0.0000         0.0000       329.8779         0.0000       205.6939
         0.0180         0.0000         0.0000         0.0000       342.6091         0.0000       213.6311
         0.0187         0.0000         0.0000         0.0000       355.3435         0.0000       221.5703
         0.0193         0.0000         0.0000         0.0000       368.0812         0.0000       229.5114
         0.0200         0.0000         0.0000         0.0000       380.8222         0.0000       237.4545
         0.0207         0.0000         0.0000         0.0000       393.5663         0.0000       245.3995
         0.0213         0.0000         0.0000         0.0000       406.3138         0.0000       253.3464
         0.0220         0.0000         0.0000         0.0000       419.0645         0.0000       261.2953
         0.0227         0.0000         0.0000         0.0000       431.8184         0.0000       269.2461
         0.0233         0.0000         0.0000         0.0000       444.5757         0.0000       277.1988
         0.0240         0.0000         0.0000         0.0000       457.3361         0.0000       285.1535
         0.0247         0.0000         0.0000         0.0000       470.0999         0.0000       293.1102
         0.0253         0.0000         0.0000         0.0000       482.8669         0.0000       301.0687
         0.0260         0.0000         0.0000         0.0000       495.6372         0.0000       309.0293
         0.0267         0.0000         0.0000         0.0000       508.4107         0.0000       316.9917
         0.0273         0.0000         0.0000         0.0000       521.1875         0.0000       324.9561
         0.0280         0.0000         0.0000         0.0000       533.9676         0.0000       332.9225
         0.0287         0.0000         0.0000         0.0000       546.7510         0.0000       340.8908
         0.0293         0.0000         0.0000         0.0000       559.5376         0.0000       348.8611
         0.0300         0.0000         0.0000         0.0000       572.3275         0.0000       356.8333
         0.0307         0.0000         0.0000         0.0000       585.1207         0.0000       364.8075
         0.0313         0.0000         0.0000         0.0000       597.9172         0.0000       372.7836
         0.0320         0.0000         0.0000         0.0000       610.7170         0.0000       380.7617
         0.0327         0.0000         0.0000         0.0000       623.5200         0.0000       388.7417
         0.0333         0.0000         0.0000         0.0000       636.3263         0.0000       396.7237
         0.0340         0.0000         0.0000         0.0000       649.1359         0.0000       404.7076
         0.0347         0.0000         0.0000         0.0000       661.9489         0.0000       412.6935
         0.0353         0.0000         0.0000         0.0000       674.7651         0.0000       420.6814
         0.0360         0.0000         0.0000         0.0000       687.5846         0.0000       428.6712
         0.0367         0.0000         0.0000         0.0000       700.4074         0.0000       436.6630
         0.0373         0.0000         0.0000         0.0000       713.2335         0.0000       444.6568
         0.0380         0.0000         0.0000         0.0000       726.0630         0.0000       452.6525
         0.0387         0.0000         0.0000         0.0000       738.8956         0.0000       460.6502
         0.0393         0.0000         0.0000         0.0000       751.7317         0.0000       468.6498
         0.0400         0.0000         0.0000         0.0000       764.5710         0.0000       476.6514
         0.0407         0.0000         0.0000         0.0000       777.4137         0.0000       484.6550
         0.0413         0.0000         0.0000         0.0000       790.2596         0.0000       492.6606
         0.0420         0.0000         0.0000         0.0000       803.1089         0.0000       500.6681
         0.0427         0.0000         0.0000         0.0000       815.9614         0.0000       508.6776
         0.0433         0.0000         0.0000         0.0000       828.8173         0.0000       516.6891
         0.0440         0.0000         0.0000         0.0000       841.6765         0.0000       524.7026
         0.0447         0.0000         0.0000         0.0000       854.5391         0.0000       532.7180
         0.0453         0.0000         0.0000         0.0000       867.4049         0.0000       540.7354
         0.0460         0.0000         0.0000         0.0000       880.2741         0.0000       548.7548
         0.0467         0.0000         0.0000         0.0000       893.1467         0.0000       556.7761
         0.0473         0.0000         0.0000         0.0000       906.0225         0.0000       564.7995
         0.0480         0.0000         0.0000         0.0000       918.9017         0.0000       572.8248
         0.0487         0.0000         0.0000         0.0000       931.7842         0.0000       580.8521
         0.0493         0.0000         0.0000         0.0000       944.6700         0.0000       588.8814
         0.0500         0.0000         0.0000         0.0000       957.5592         0.0000       596.9127
         0.0507         0.0000         0.0000         0.0000       970.4518         0.0000       604.9460
         0.0513         0.0000         0.0000         0.0000       983.3476         0.0000       612.9812
         0.0520         0.0000         0.0000         0.0000       996.2468         0.0000       621.0185
         0.0527         0.0000         0.0000         0.0000      1009.1494         0.0000       629.0577
         0.0533         0.0000         0.0000         0.0000      1022.0553         0.0000       637.0989
         0.0540         0.0000         0.0000         0.0000      1034.9645         0.0000       645.1421
         0.0547         0.0000         0.0000         0.0000      1047.8771         0.0000       653.1873
         0.0553         0.0000         0.0000         0.0000      1060.7930         0.0000       661.2345
         0.0560         0.0000         0.0000         0.0000      1073.7124         0.0000       669.2837
         0.0567         0.0000         0.0000         0.0000      1086.6350         0.0000       677.3349
         0.0573         0.0000         0.0000         0.0000      1099.5611         0.0000       685.3881
         0.0580         0.0000         0.0000         0.0000      1112.4904         0.0000       693.4433
         0.0587         0.0000         0.0000         0.0000      1125.4232         0.0000       701.5005
         0.0593         0.0000         0.0000         0.0000      1138.3593         0.0000       709.5597
         0.0600         0.0000         0.0000         0.0000      1151.2988         0.0000       717.6209
         0.0607         0.0000         0.0000         0.0000      1164.2417         0.0000       725.6841
         0.0613         0.0000         0.0000         0.0000      1177.1879         0.0000       733.7493
         0.0620         0.0000         0.0000         0.0000      1190.1375         0.0000       741.8165
         0.0627         0.0000         0.0000         0.0000      1203.0905         0.0000       749.8857
         0.0633         0.0000         0.0000         0.0000      1216.0468         0.0000       757.9569
         0.0640         0.0000         0.0000         0.0000      1229.0065         0.0000       766.0302
         0.0647         0.0000         0.0000         0.0000      1241.9697         0.0000       774.1054
         0.0653         0.0000         0.0000         0.0000      1254.9362         0.0000       782.1827
         0.0660         0.0000         0.0000         0.0000      1267.9060         0.0000       790.2619
         0.0667         0.0000         0.0000         0.0000      1280.8793         0.0000       798.3432
         0.0673         0.0000         0.0000         0.0000      1293.8559         0.0000       806.4265
         0.0680         0.0000         0.0000         0.0000      1306.8360         0.0000       814.5118
         0.0687         0.0000         0.0000         0.0000      1319.8195         0.0000       822.5992
         0.0693         0.0000         0.0000         0.0000      1332.8063         0.0000       830.6885
         0.0700         0.0000         0.0000         0.0000      1345.7966         0.0000       838.7798
         0.0707         0.0000         0.0000         0.0000      1358.7902         0.0000       846.8733
         0.0713         0.0000         0.0000         0.0000      1371.7872         0.0000       854.9687
         0.0720         0.0000         0.0000         0.0000      1384.7877         0.0000       863.0661
         0.0727         0.0000         0.0000         0.0000      1397.7915         0.0000       871.1656
         0.0733         0.0000         0.0000         0.0000      1410.7988         0.0000       879.2671
         0.0740         0.0000         0.0000         0.0000      1423.8095         0.0000       887.3706
         0.0747         0.0000         0.0000         0.0000      1436.8236         0.0000       895.4761
         0.0753         0.0000         0.0000         0.0000      1449.8411         0.0000       903.5837
         0.0760         0.0000         0.0000         0.0000      1462.8620         0.0000       911.6933
         0.0767         0.0000         0.0000         0.0000      1475.8863         0.0000       919.8049
         0.0773         0.0000         0.0000         0.0000      1488.9140         0.0000       927.9186
         0.0780         0.0000         0.0000         0.0000      1501.9452         0.0000       936.0343
         0.0787         0.0000         0.0000         0.0000      1514.9798         0.0000       944.1520
         0.0793         0.0000         0.0000         0.0000      1528.0179         0.0000       952.2718
         0.0800         0.0000         0.0000         0.0000      1541.0593         0.0000       960.3936
         0.0807         0.0000         0.0000         0.0000      1554.1042         0.0000       968.5174
