 #  energy  real  imag
  0.000000000000000E+000   1.199304      0.0000000E+00
  6.666666666666666E-004   1.199352      0.0000000E+00
  1.333333333333333E-003   1.199401      0.0000000E+00
  2.000000000000000E-003   1.199450      0.0000000E+00
  2.666666666666667E-003   1.199499      0.0000000E+00
  3.333333333333334E-003   1.199548      0.0000000E+00
  4.000000000000000E-003   1.199597      0.0000000E+00
  4.666666666666667E-003   1.199646      0.0000000E+00
  5.333333333333333E-003   1.199695      0.0000000E+00
  6.000000000000000E-003   1.199744      0.0000000E+00
  6.666666666666667E-003   1.199793      0.0000000E+00
  7.333333333333333E-003   1.199843      0.0000000E+00
  8.000000000000000E-003   1.199892      0.0000000E+00
  8.666666666666666E-003   1.199941      0.0000000E+00
  9.333333333333334E-003   1.199990      0.0000000E+00
  1.000000000000000E-002   1.200039      0.0000000E+00
  1.066666666666667E-002   1.200089      0.0000000E+00
  1.133333333333333E-002   1.200138      0.0000000E+00
  1.200000000000000E-002   1.200187      0.0000000E+00
  1.266666666666667E-002   1.200236      0.0000000E+00
  1.333333333333333E-002   1.200286      0.0000000E+00
  1.400000000000000E-002   1.200335      0.0000000E+00
  1.466666666666667E-002   1.200385      0.0000000E+00
  1.533333333333333E-002   1.200434      0.0000000E+00
  1.600000000000000E-002   1.200483      0.0000000E+00
  1.666666666666667E-002   1.200533      0.0000000E+00
  1.733333333333333E-002   1.200583      0.0000000E+00
  1.800000000000000E-002   1.200632      0.0000000E+00
  1.866666666666667E-002   1.200682      0.0000000E+00
  1.933333333333333E-002   1.200731      0.0000000E+00
  2.000000000000000E-002   1.200781      0.0000000E+00
  2.066666666666667E-002   1.200830      0.0000000E+00
  2.133333333333333E-002   1.200880      0.0000000E+00
  2.200000000000000E-002   1.200930      0.0000000E+00
  2.266666666666667E-002   1.200979      0.0000000E+00
  2.333333333333333E-002   1.201029      0.0000000E+00
  2.400000000000000E-002   1.201079      0.0000000E+00
  2.466666666666667E-002   1.201129      0.0000000E+00
  2.533333333333333E-002   1.201178      0.0000000E+00
  2.600000000000000E-002   1.201228      0.0000000E+00
  2.666666666666667E-002   1.201278      0.0000000E+00
  2.733333333333333E-002   1.201328      0.0000000E+00
  2.800000000000000E-002   1.201378      0.0000000E+00
  2.866666666666667E-002   1.201428      0.0000000E+00
  2.933333333333333E-002   1.201478      0.0000000E+00
  3.000000000000000E-002   1.201528      0.0000000E+00
  3.066666666666666E-002   1.201578      0.0000000E+00
  3.133333333333333E-002   1.201628      0.0000000E+00
  3.200000000000000E-002   1.201678      0.0000000E+00
  3.266666666666666E-002   1.201728      0.0000000E+00
  3.333333333333333E-002   1.201778      0.0000000E+00
  3.400000000000000E-002   1.201828      0.0000000E+00
  3.466666666666667E-002   1.201878      0.0000000E+00
  3.533333333333333E-002   1.201929      0.0000000E+00
  3.600000000000000E-002   1.201979      0.0000000E+00
  3.666666666666667E-002   1.202029      0.0000000E+00
  3.733333333333334E-002   1.202079      0.0000000E+00
  3.800000000000000E-002   1.202130      0.0000000E+00
  3.866666666666667E-002   1.202180      0.0000000E+00
  3.933333333333333E-002   1.202230      0.0000000E+00
  4.000000000000000E-002   1.202281      0.0000000E+00
  4.066666666666666E-002   1.202331      0.0000000E+00
  4.133333333333333E-002   1.202381      0.0000000E+00
  4.200000000000000E-002   1.202432      0.0000000E+00
  4.266666666666667E-002   1.202482      0.0000000E+00
  4.333333333333333E-002   1.202533      0.0000000E+00
  4.400000000000000E-002   1.202583      0.0000000E+00
  4.466666666666667E-002   1.202634      0.0000000E+00
  4.533333333333334E-002   1.202685      0.0000000E+00
  4.600000000000000E-002   1.202735      0.0000000E+00
  4.666666666666667E-002   1.202786      0.0000000E+00
  4.733333333333333E-002   1.202836      0.0000000E+00
  4.800000000000000E-002   1.202887      0.0000000E+00
  4.866666666666666E-002   1.202938      0.0000000E+00
  4.933333333333333E-002   1.202989      0.0000000E+00
  5.000000000000000E-002   1.203039      0.0000000E+00
  5.066666666666667E-002   1.203090      0.0000000E+00
  5.133333333333333E-002   1.203141      0.0000000E+00
  5.200000000000000E-002   1.203192      0.0000000E+00
  5.266666666666667E-002   1.203243      0.0000000E+00
  5.333333333333334E-002   1.203293      0.0000000E+00
  5.400000000000000E-002   1.203344      0.0000000E+00
  5.466666666666667E-002   1.203395      0.0000000E+00
  5.533333333333333E-002   1.203446      0.0000000E+00
  5.600000000000000E-002   1.203497      0.0000000E+00
  5.666666666666666E-002   1.203548      0.0000000E+00
  5.733333333333333E-002   1.203599      0.0000000E+00
  5.800000000000000E-002   1.203650      0.0000000E+00
  5.866666666666667E-002   1.203701      0.0000000E+00
  5.933333333333334E-002   1.203753      0.0000000E+00
  6.000000000000000E-002   1.203804      0.0000000E+00
  6.066666666666667E-002   1.203855      0.0000000E+00
  6.133333333333333E-002   1.203906      0.0000000E+00
  6.200000000000000E-002   1.203957      0.0000000E+00
