 #  energy  real  imag
  0.000000000000000E+000   1.197729      0.0000000E+00
  6.666666666666666E-004   1.197778      0.0000000E+00
  1.333333333333333E-003   1.197828      0.0000000E+00
  2.000000000000000E-003   1.197877      0.0000000E+00
  2.666666666666667E-003   1.197927      0.0000000E+00
  3.333333333333334E-003   1.197976      0.0000000E+00
  4.000000000000000E-003   1.198026      0.0000000E+00
  4.666666666666667E-003   1.198076      0.0000000E+00
  5.333333333333333E-003   1.198125      0.0000000E+00
  6.000000000000000E-003   1.198175      0.0000000E+00
  6.666666666666667E-003   1.198225      0.0000000E+00
  7.333333333333333E-003   1.198274      0.0000000E+00
  8.000000000000000E-003   1.198324      0.0000000E+00
  8.666666666666666E-003   1.198374      0.0000000E+00
  9.333333333333334E-003   1.198424      0.0000000E+00
  1.000000000000000E-002   1.198473      0.0000000E+00
  1.066666666666667E-002   1.198523      0.0000000E+00
  1.133333333333333E-002   1.198573      0.0000000E+00
  1.200000000000000E-002   1.198623      0.0000000E+00
  1.266666666666667E-002   1.198673      0.0000000E+00
  1.333333333333333E-002   1.198723      0.0000000E+00
  1.400000000000000E-002   1.198773      0.0000000E+00
  1.466666666666667E-002   1.198823      0.0000000E+00
  1.533333333333333E-002   1.198873      0.0000000E+00
  1.600000000000000E-002   1.198923      0.0000000E+00
  1.666666666666667E-002   1.198973      0.0000000E+00
  1.733333333333333E-002   1.199023      0.0000000E+00
  1.800000000000000E-002   1.199073      0.0000000E+00
  1.866666666666667E-002   1.199123      0.0000000E+00
  1.933333333333333E-002   1.199173      0.0000000E+00
  2.000000000000000E-002   1.199223      0.0000000E+00
  2.066666666666667E-002   1.199274      0.0000000E+00
  2.133333333333333E-002   1.199324      0.0000000E+00
  2.200000000000000E-002   1.199374      0.0000000E+00
  2.266666666666667E-002   1.199424      0.0000000E+00
  2.333333333333333E-002   1.199475      0.0000000E+00
  2.400000000000000E-002   1.199525      0.0000000E+00
  2.466666666666667E-002   1.199575      0.0000000E+00
  2.533333333333333E-002   1.199626      0.0000000E+00
  2.600000000000000E-002   1.199676      0.0000000E+00
  2.666666666666667E-002   1.199727      0.0000000E+00
  2.733333333333333E-002   1.199777      0.0000000E+00
