 #  energy  real  imag
  0.000000000000000E+000   1.197341      0.0000000E+00
  6.666666666666666E-004   1.197388      0.0000000E+00
  1.333333333333333E-003   1.197435      0.0000000E+00
  2.000000000000000E-003   1.197483      0.0000000E+00
  2.666666666666667E-003   1.197530      0.0000000E+00
  3.333333333333334E-003   1.197578      0.0000000E+00
  4.000000000000000E-003   1.197625      0.0000000E+00
  4.666666666666667E-003   1.197673      0.0000000E+00
  5.333333333333333E-003   1.197720      0.0000000E+00
  6.000000000000000E-003   1.197768      0.0000000E+00
  6.666666666666667E-003   1.197815      0.0000000E+00
  7.333333333333333E-003   1.197863      0.0000000E+00
  8.000000000000000E-003   1.197911      0.0000000E+00
  8.666666666666666E-003   1.197958      0.0000000E+00
  9.333333333333334E-003   1.198006      0.0000000E+00
  1.000000000000000E-002   1.198053      0.0000000E+00
  1.066666666666667E-002   1.198101      0.0000000E+00
  1.133333333333333E-002   1.198149      0.0000000E+00
  1.200000000000000E-002   1.198197      0.0000000E+00
  1.266666666666667E-002   1.198244      0.0000000E+00
  1.333333333333333E-002   1.198292      0.0000000E+00
  1.400000000000000E-002   1.198340      0.0000000E+00
  1.466666666666667E-002   1.198388      0.0000000E+00
  1.533333333333333E-002   1.198436      0.0000000E+00
  1.600000000000000E-002   1.198484      0.0000000E+00
  1.666666666666667E-002   1.198532      0.0000000E+00
  1.733333333333333E-002   1.198579      0.0000000E+00
  1.800000000000000E-002   1.198627      0.0000000E+00
  1.866666666666667E-002   1.198675      0.0000000E+00
  1.933333333333333E-002   1.198723      0.0000000E+00
  2.000000000000000E-002   1.198771      0.0000000E+00
  2.066666666666667E-002   1.198819      0.0000000E+00
  2.133333333333333E-002   1.198867      0.0000000E+00
  2.200000000000000E-002   1.198916      0.0000000E+00
  2.266666666666667E-002   1.198964      0.0000000E+00
  2.333333333333333E-002   1.199012      0.0000000E+00
  2.400000000000000E-002   1.199060      0.0000000E+00
  2.466666666666667E-002   1.199108      0.0000000E+00
  2.533333333333333E-002   1.199156      0.0000000E+00
  2.600000000000000E-002   1.199205      0.0000000E+00
  2.666666666666667E-002   1.199253      0.0000000E+00
  2.733333333333333E-002   1.199301      0.0000000E+00
  2.800000000000000E-002   1.199350      0.0000000E+00
  2.866666666666667E-002   1.199398      0.0000000E+00
  2.933333333333333E-002   1.199446      0.0000000E+00
  3.000000000000000E-002   1.199495      0.0000000E+00
  3.066666666666666E-002   1.199543      0.0000000E+00
  3.133333333333333E-002   1.199591      0.0000000E+00
  3.200000000000000E-002   1.199640      0.0000000E+00
  3.266666666666666E-002   1.199688      0.0000000E+00
  3.333333333333333E-002   1.199737      0.0000000E+00
  3.400000000000000E-002   1.199785      0.0000000E+00
  3.466666666666667E-002   1.199834      0.0000000E+00
  3.533333333333333E-002   1.199883      0.0000000E+00
  3.600000000000000E-002   1.199931      0.0000000E+00
  3.666666666666667E-002   1.199980      0.0000000E+00
  3.733333333333334E-002   1.200028      0.0000000E+00
  3.800000000000000E-002   1.200077      0.0000000E+00
  3.866666666666667E-002   1.200126      0.0000000E+00
  3.933333333333333E-002   1.200175      0.0000000E+00
  4.000000000000000E-002   1.200223      0.0000000E+00
  4.066666666666666E-002   1.200272      0.0000000E+00
  4.133333333333333E-002   1.200321      0.0000000E+00
  4.200000000000000E-002   1.200370      0.0000000E+00
  4.266666666666667E-002   1.200419      0.0000000E+00
  4.333333333333333E-002   1.200467      0.0000000E+00
  4.400000000000000E-002   1.200516      0.0000000E+00
  4.466666666666667E-002   1.200565      0.0000000E+00
  4.533333333333334E-002   1.200614      0.0000000E+00
  4.600000000000000E-002   1.200663      0.0000000E+00
  4.666666666666667E-002   1.200712      0.0000000E+00
  4.733333333333333E-002   1.200761      0.0000000E+00
  4.800000000000000E-002   1.200810      0.0000000E+00
  4.866666666666666E-002   1.200859      0.0000000E+00
  4.933333333333333E-002   1.200908      0.0000000E+00
  5.000000000000000E-002   1.200957      0.0000000E+00
  5.066666666666667E-002   1.201007      0.0000000E+00
  5.133333333333333E-002   1.201056      0.0000000E+00
  5.200000000000000E-002   1.201105      0.0000000E+00
  5.266666666666667E-002   1.201154      0.0000000E+00
  5.333333333333334E-002   1.201203      0.0000000E+00
  5.400000000000000E-002   1.201253      0.0000000E+00
  5.466666666666667E-002   1.201302      0.0000000E+00
  5.533333333333333E-002   1.201351      0.0000000E+00
  5.600000000000000E-002   1.201401      0.0000000E+00
  5.666666666666666E-002   1.201450      0.0000000E+00
  5.733333333333333E-002   1.201499      0.0000000E+00
  5.800000000000000E-002   1.201549      0.0000000E+00
  5.866666666666667E-002   1.201598      0.0000000E+00
  5.933333333333334E-002   1.201648      0.0000000E+00
  6.000000000000000E-002   1.201697      0.0000000E+00
  6.066666666666667E-002   1.201747      0.0000000E+00
  6.133333333333333E-002   1.201796      0.0000000E+00
  6.200000000000000E-002   1.201846      0.0000000E+00
  6.266666666666666E-002   1.201895      0.0000000E+00
  6.333333333333334E-002   1.201945      0.0000000E+00
  6.400000000000000E-002   1.201995      0.0000000E+00
  6.466666666666666E-002   1.202044      0.0000000E+00
  6.533333333333333E-002   1.202094      0.0000000E+00
  6.600000000000000E-002   1.202144      0.0000000E+00
  6.666666666666667E-002   1.202193      0.0000000E+00
  6.733333333333333E-002   1.202243      0.0000000E+00
  6.800000000000000E-002   1.202293      0.0000000E+00
  6.866666666666667E-002   1.202343      0.0000000E+00
  6.933333333333333E-002   1.202393      0.0000000E+00
  7.000000000000001E-002   1.202443      0.0000000E+00
  7.066666666666667E-002   1.202492      0.0000000E+00
  7.133333333333333E-002   1.202542      0.0000000E+00
  7.199999999999999E-002   1.202592      0.0000000E+00
  7.266666666666667E-002   1.202642      0.0000000E+00
  7.333333333333333E-002   1.202692      0.0000000E+00
  7.400000000000000E-002   1.202742      0.0000000E+00
  7.466666666666667E-002   1.202792      0.0000000E+00
  7.533333333333334E-002   1.202842      0.0000000E+00
  7.600000000000000E-002   1.202892      0.0000000E+00
  7.666666666666666E-002   1.202942      0.0000000E+00
  7.733333333333334E-002   1.202993      0.0000000E+00
  7.800000000000000E-002   1.203043      0.0000000E+00
  7.866666666666666E-002   1.203093      0.0000000E+00
  7.933333333333334E-002   1.203143      0.0000000E+00
  8.000000000000000E-002   1.203194      0.0000000E+00
  8.066666666666666E-002   1.203244      0.0000000E+00
  8.133333333333333E-002   1.203294      0.0000000E+00
  8.200000000000000E-002   1.203344      0.0000000E+00
  8.266666666666667E-002   1.203395      0.0000000E+00
  8.333333333333333E-002   1.203445      0.0000000E+00
  8.400000000000001E-002   1.203496      0.0000000E+00
  8.466666666666667E-002   1.203546      0.0000000E+00
  8.533333333333333E-002   1.203596      0.0000000E+00
  8.599999999999999E-002   1.203647      0.0000000E+00
  8.666666666666667E-002   1.203697      0.0000000E+00
  8.733333333333333E-002   1.203748      0.0000000E+00
  8.799999999999999E-002   1.203798      0.0000000E+00
  8.866666666666667E-002   1.203849      0.0000000E+00
  8.933333333333333E-002   1.203900      0.0000000E+00
  9.000000000000000E-002   1.203950      0.0000000E+00
  9.066666666666667E-002   1.204001      0.0000000E+00
  9.133333333333334E-002   1.204052      0.0000000E+00
  9.200000000000000E-002   1.204102      0.0000000E+00
  9.266666666666666E-002   1.204153      0.0000000E+00
  9.333333333333334E-002   1.204204      0.0000000E+00
  9.400000000000000E-002   1.204255      0.0000000E+00
  9.466666666666666E-002   1.204305      0.0000000E+00
  9.533333333333334E-002   1.204356      0.0000000E+00
  9.600000000000000E-002   1.204407      0.0000000E+00
  9.666666666666666E-002   1.204458      0.0000000E+00
  9.733333333333333E-002   1.204509      0.0000000E+00
  9.800000000000000E-002   1.204560      0.0000000E+00
  9.866666666666667E-002   1.204611      0.0000000E+00
  9.933333333333333E-002   1.204662      0.0000000E+00
  0.100000000000000        1.204713      0.0000000E+00
  0.100666666666667        1.204764      0.0000000E+00
  0.101333333333333        1.204815      0.0000000E+00
  0.102000000000000        1.204866      0.0000000E+00
  0.102666666666667        1.204917      0.0000000E+00
  0.103333333333333        1.204968      0.0000000E+00
  0.104000000000000        1.205019      0.0000000E+00
  0.104666666666667        1.205071      0.0000000E+00
  0.105333333333333        1.205122      0.0000000E+00
  0.106000000000000        1.205173      0.0000000E+00
  0.106666666666667        1.205225      0.0000000E+00
  0.107333333333333        1.205276      0.0000000E+00
  0.108000000000000        1.205327      0.0000000E+00
  0.108666666666667        1.205378      0.0000000E+00
  0.109333333333333        1.205430      0.0000000E+00
  0.110000000000000        1.205481      0.0000000E+00
  0.110666666666667        1.205533      0.0000000E+00
  0.111333333333333        1.205584      0.0000000E+00
  0.112000000000000        1.205636      0.0000000E+00
  0.112666666666667        1.205687      0.0000000E+00
  0.113333333333333        1.205739      0.0000000E+00
  0.114000000000000        1.205790      0.0000000E+00
  0.114666666666667        1.205842      0.0000000E+00
  0.115333333333333        1.205894      0.0000000E+00
  0.116000000000000        1.205945      0.0000000E+00
  0.116666666666667        1.205997      0.0000000E+00
  0.117333333333333        1.206049      0.0000000E+00
  0.118000000000000        1.206100      0.0000000E+00
  0.118666666666667        1.206152      0.0000000E+00
  0.119333333333333        1.206204      0.0000000E+00
  0.120000000000000        1.206256      0.0000000E+00
  0.120666666666667        1.206308      0.0000000E+00
  0.121333333333333        1.206359      0.0000000E+00
  0.122000000000000        1.206411      0.0000000E+00
  0.122666666666667        1.206463      0.0000000E+00
  0.123333333333333        1.206515      0.0000000E+00
  0.124000000000000        1.206567      0.0000000E+00
  0.124666666666667        1.206619      0.0000000E+00
  0.125333333333333        1.206671      0.0000000E+00
  0.126000000000000        1.206723      0.0000000E+00
  0.126666666666667        1.206775      0.0000000E+00
  0.127333333333333        1.206827      0.0000000E+00
  0.128000000000000        1.206879      0.0000000E+00
  0.128666666666667        1.206932      0.0000000E+00
  0.129333333333333        1.206984      0.0000000E+00
  0.130000000000000        1.207036      0.0000000E+00
  0.130666666666667        1.207088      0.0000000E+00
  0.131333333333333        1.207141      0.0000000E+00
  0.132000000000000        1.207193      0.0000000E+00
  0.132666666666667        1.207245      0.0000000E+00
  0.133333333333333        1.207298      0.0000000E+00
  0.134000000000000        1.207350      0.0000000E+00
  0.134666666666667        1.207402      0.0000000E+00
  0.135333333333333        1.207455      0.0000000E+00
  0.136000000000000        1.207507      0.0000000E+00
  0.136666666666667        1.207560      0.0000000E+00
  0.137333333333333        1.207612      0.0000000E+00
  0.138000000000000        1.207665      0.0000000E+00
  0.138666666666667        1.207717      0.0000000E+00
  0.139333333333333        1.207770      0.0000000E+00
  0.140000000000000        1.207823      0.0000000E+00
  0.140666666666667        1.207875      0.0000000E+00
  0.141333333333333        1.207928      0.0000000E+00
  0.142000000000000        1.207981      0.0000000E+00
  0.142666666666667        1.208033      0.0000000E+00
  0.143333333333333        1.208086      0.0000000E+00
  0.144000000000000        1.208139      0.0000000E+00
  0.144666666666667        1.208192      0.0000000E+00
  0.145333333333333        1.208245      0.0000000E+00
  0.146000000000000        1.208297      0.0000000E+00
  0.146666666666667        1.208350      0.0000000E+00
  0.147333333333333        1.208403      0.0000000E+00
  0.148000000000000        1.208456      0.0000000E+00
  0.148666666666667        1.208509      0.0000000E+00
  0.149333333333333        1.208562      0.0000000E+00
  0.150000000000000        1.208615      0.0000000E+00
  0.150666666666667        1.208668      0.0000000E+00
  0.151333333333333        1.208721      0.0000000E+00
  0.152000000000000        1.208775      0.0000000E+00
  0.152666666666667        1.208828      0.0000000E+00
  0.153333333333333        1.208881      0.0000000E+00
  0.154000000000000        1.208934      0.0000000E+00
  0.154666666666667        1.208987      0.0000000E+00
  0.155333333333333        1.209041      0.0000000E+00
  0.156000000000000        1.209094      0.0000000E+00
  0.156666666666667        1.209147      0.0000000E+00
  0.157333333333333        1.209201      0.0000000E+00
  0.158000000000000        1.209254      0.0000000E+00
  0.158666666666667        1.209307      0.0000000E+00
  0.159333333333333        1.209361      0.0000000E+00
  0.160000000000000        1.209414      0.0000000E+00
  0.160666666666667        1.209468      0.0000000E+00
  0.161333333333333        1.209521      0.0000000E+00
  0.162000000000000        1.209575      0.0000000E+00
  0.162666666666667        1.209628      0.0000000E+00
  0.163333333333333        1.209682      0.0000000E+00
  0.164000000000000        1.209736      0.0000000E+00
  0.164666666666667        1.209789      0.0000000E+00
  0.165333333333333        1.209843      0.0000000E+00
  0.166000000000000        1.209897      0.0000000E+00
  0.166666666666667        1.209950      0.0000000E+00
  0.167333333333333        1.210004      0.0000000E+00
  0.168000000000000        1.210058      0.0000000E+00
  0.168666666666667        1.210112      0.0000000E+00
  0.169333333333333        1.210166      0.0000000E+00
  0.170000000000000        1.210220      0.0000000E+00
  0.170666666666667        1.210273      0.0000000E+00
  0.171333333333333        1.210327      0.0000000E+00
  0.172000000000000        1.210381      0.0000000E+00
  0.172666666666667        1.210435      0.0000000E+00
  0.173333333333333        1.210489      0.0000000E+00
  0.174000000000000        1.210543      0.0000000E+00
  0.174666666666667        1.210597      0.0000000E+00
  0.175333333333333        1.210652      0.0000000E+00
  0.176000000000000        1.210706      0.0000000E+00
  0.176666666666667        1.210760      0.0000000E+00
  0.177333333333333        1.210814      0.0000000E+00
  0.178000000000000        1.210868      0.0000000E+00
  0.178666666666667        1.210922      0.0000000E+00
  0.179333333333333        1.210977      0.0000000E+00
  0.180000000000000        1.211031      0.0000000E+00
  0.180666666666667        1.211085      0.0000000E+00
  0.181333333333333        1.211140      0.0000000E+00
  0.182000000000000        1.211194      0.0000000E+00
  0.182666666666667        1.211249      0.0000000E+00
  0.183333333333333        1.211303      0.0000000E+00
  0.184000000000000        1.211358      0.0000000E+00
  0.184666666666667        1.211412      0.0000000E+00
  0.185333333333333        1.211467      0.0000000E+00
  0.186000000000000        1.211521      0.0000000E+00
  0.186666666666667        1.211576      0.0000000E+00
  0.187333333333333        1.211630      0.0000000E+00
  0.188000000000000        1.211685      0.0000000E+00
  0.188666666666667        1.211740      0.0000000E+00
  0.189333333333333        1.211794      0.0000000E+00
  0.190000000000000        1.211849      0.0000000E+00
  0.190666666666667        1.211904      0.0000000E+00
  0.191333333333333        1.211959      0.0000000E+00
  0.192000000000000        1.212014      0.0000000E+00
  0.192666666666667        1.212069      0.0000000E+00
  0.193333333333333        1.212123      0.0000000E+00
  0.194000000000000        1.212178      0.0000000E+00
  0.194666666666667        1.212233      0.0000000E+00
  0.195333333333333        1.212288      0.0000000E+00
  0.196000000000000        1.212343      0.0000000E+00
  0.196666666666667        1.212398      0.0000000E+00
  0.197333333333333        1.212453      0.0000000E+00
  0.198000000000000        1.212508      0.0000000E+00
  0.198666666666667        1.212564      0.0000000E+00
  0.199333333333333        1.212619      0.0000000E+00
  0.200000000000000        1.212674      0.0000000E+00
  0.200666666666667        1.212729      0.0000000E+00
  0.201333333333333        1.212784      0.0000000E+00
  0.202000000000000        1.212840      0.0000000E+00
  0.202666666666667        1.212895      0.0000000E+00
  0.203333333333333        1.212950      0.0000000E+00
  0.204000000000000        1.213006      0.0000000E+00
  0.204666666666667        1.213061      0.0000000E+00
  0.205333333333333        1.213117      0.0000000E+00
  0.206000000000000        1.213172      0.0000000E+00
  0.206666666666667        1.213227      0.0000000E+00
  0.207333333333333        1.213283      0.0000000E+00
  0.208000000000000        1.213338      0.0000000E+00
  0.208666666666667        1.213394      0.0000000E+00
  0.209333333333333        1.213450      0.0000000E+00
  0.210000000000000        1.213505      0.0000000E+00
  0.210666666666667        1.213561      0.0000000E+00
  0.211333333333333        1.213617      0.0000000E+00
  0.212000000000000        1.213672      0.0000000E+00
  0.212666666666667        1.213728      0.0000000E+00
  0.213333333333333        1.213784      0.0000000E+00
  0.214000000000000        1.213840      0.0000000E+00
  0.214666666666667        1.213896      0.0000000E+00
  0.215333333333333        1.213951      0.0000000E+00
  0.216000000000000        1.214007      0.0000000E+00
  0.216666666666667        1.214063      0.0000000E+00
  0.217333333333333        1.214119      0.0000000E+00
  0.218000000000000        1.214175      0.0000000E+00
  0.218666666666667        1.214231      0.0000000E+00
  0.219333333333333        1.214287      0.0000000E+00
  0.220000000000000        1.214343      0.0000000E+00
  0.220666666666667        1.214399      0.0000000E+00
  0.221333333333333        1.214456      0.0000000E+00
  0.222000000000000        1.214512      0.0000000E+00
  0.222666666666667        1.214568      0.0000000E+00
  0.223333333333333        1.214624      0.0000000E+00
  0.224000000000000        1.214680      0.0000000E+00
  0.224666666666667        1.214737      0.0000000E+00
  0.225333333333333        1.214793      0.0000000E+00
  0.226000000000000        1.214849      0.0000000E+00
  0.226666666666667        1.214906      0.0000000E+00
  0.227333333333333        1.214962      0.0000000E+00
  0.228000000000000        1.215019      0.0000000E+00
  0.228666666666667        1.215075      0.0000000E+00
  0.229333333333333        1.215132      0.0000000E+00
  0.230000000000000        1.215188      0.0000000E+00
  0.230666666666667        1.215245      0.0000000E+00
  0.231333333333333        1.215301      0.0000000E+00
  0.232000000000000        1.215358      0.0000000E+00
  0.232666666666667        1.215415      0.0000000E+00
  0.233333333333333        1.215471      0.0000000E+00
  0.234000000000000        1.215528      0.0000000E+00
  0.234666666666667        1.215585      0.0000000E+00
  0.235333333333333        1.215642      0.0000000E+00
  0.236000000000000        1.215698      0.0000000E+00
  0.236666666666667        1.215755      0.0000000E+00
  0.237333333333333        1.215812      0.0000000E+00
  0.238000000000000        1.215869      0.0000000E+00
  0.238666666666667        1.215926      0.0000000E+00
  0.239333333333333        1.215983      0.0000000E+00
  0.240000000000000        1.216040      0.0000000E+00
  0.240666666666667        1.216097      0.0000000E+00
  0.241333333333333        1.216154      0.0000000E+00
  0.242000000000000        1.216211      0.0000000E+00
  0.242666666666667        1.216268      0.0000000E+00
  0.243333333333333        1.216325      0.0000000E+00
  0.244000000000000        1.216383      0.0000000E+00
  0.244666666666667        1.216440      0.0000000E+00
  0.245333333333333        1.216497      0.0000000E+00
  0.246000000000000        1.216554      0.0000000E+00
  0.246666666666667        1.216612      0.0000000E+00
  0.247333333333333        1.216669      0.0000000E+00
  0.248000000000000        1.216726      0.0000000E+00
  0.248666666666667        1.216784      0.0000000E+00
  0.249333333333333        1.216841      0.0000000E+00
  0.250000000000000        1.216899      0.0000000E+00
  0.250666666666667        1.216956      0.0000000E+00
  0.251333333333333        1.217014      0.0000000E+00
  0.252000000000000        1.217071      0.0000000E+00
  0.252666666666667        1.217129      0.0000000E+00
  0.253333333333333        1.217186      0.0000000E+00
  0.254000000000000        1.217244      0.0000000E+00
  0.254666666666667        1.217302      0.0000000E+00
  0.255333333333333        1.217360      0.0000000E+00
  0.256000000000000        1.217417      0.0000000E+00
  0.256666666666667        1.217475      0.0000000E+00
  0.257333333333333        1.217533      0.0000000E+00
  0.258000000000000        1.217591      0.0000000E+00
  0.258666666666667        1.217649      0.0000000E+00
  0.259333333333333        1.217706      0.0000000E+00
  0.260000000000000        1.217764      0.0000000E+00
  0.260666666666667        1.217822      0.0000000E+00
  0.261333333333333        1.217880      0.0000000E+00
  0.262000000000000        1.217938      0.0000000E+00
  0.262666666666667        1.217996      0.0000000E+00
  0.263333333333333        1.218055      0.0000000E+00
  0.264000000000000        1.218113      0.0000000E+00
  0.264666666666667        1.218171      0.0000000E+00
  0.265333333333333        1.218229      0.0000000E+00
  0.266000000000000        1.218287      0.0000000E+00
  0.266666666666667        1.218346      0.0000000E+00
  0.267333333333333        1.218404      0.0000000E+00
  0.268000000000000        1.218462      0.0000000E+00
  0.268666666666667        1.218521      0.0000000E+00
  0.269333333333333        1.218579      0.0000000E+00
  0.270000000000000        1.218637      0.0000000E+00
  0.270666666666667        1.218696      0.0000000E+00
  0.271333333333333        1.218754      0.0000000E+00
  0.272000000000000        1.218813      0.0000000E+00
  0.272666666666667        1.218871      0.0000000E+00
  0.273333333333333        1.218930      0.0000000E+00
  0.274000000000000        1.218989      0.0000000E+00
  0.274666666666667        1.219047      0.0000000E+00
  0.275333333333333        1.219106      0.0000000E+00
  0.276000000000000        1.219165      0.0000000E+00
  0.276666666666667        1.219223      0.0000000E+00
  0.277333333333333        1.219282      0.0000000E+00
  0.278000000000000        1.219341      0.0000000E+00
  0.278666666666667        1.219400      0.0000000E+00
  0.279333333333333        1.219459      0.0000000E+00
  0.280000000000000        1.219518      0.0000000E+00
  0.280666666666667        1.219577      0.0000000E+00
  0.281333333333333        1.219635      0.0000000E+00
  0.282000000000000        1.219694      0.0000000E+00
  0.282666666666667        1.219754      0.0000000E+00
  0.283333333333333        1.219813      0.0000000E+00
  0.284000000000000        1.219872      0.0000000E+00
  0.284666666666667        1.219931      0.0000000E+00
  0.285333333333333        1.219990      0.0000000E+00
  0.286000000000000        1.220049      0.0000000E+00
  0.286666666666667        1.220109      0.0000000E+00
  0.287333333333333        1.220168      0.0000000E+00
  0.288000000000000        1.220227      0.0000000E+00
