 #  energy  xx  yy  zz  sp  sm
         1.9965         2.8455         0.7001         0.0068         0.3851         3.1605
         1.9969         1.9634         2.1775         0.0167         3.9634         0.1774
         1.9971         1.5875         2.4404         0.0181         0.3875         3.6405
         1.9976         2.9914         0.5026         0.0031         2.9454         0.5486
         1.9988         4.2144         0.7932         0.0095         4.1386         0.8690
         1.9988         3.6241         0.9199         0.0126         0.7219         3.8220
         1.9993         0.6812         2.2014         0.0095         0.2355         2.6471
         1.9993         0.8452         1.8745         0.0098         2.6032         0.1165
         1.9994         0.6413         2.2057         0.0104         0.2461         2.6009
         1.9994         0.9037         1.8789         0.0116         2.6717         0.1108
         1.9999         3.7144         0.9698         0.0141         0.7117         3.9724
         1.9999         4.1764         0.7932         0.0087         4.0689         0.9007
         2.0019         3.0779         1.5537         0.0092         4.5025         0.1290
         2.0019         2.0288         1.1326         0.0086         2.9913         0.1701
         2.0026         0.3798         0.1189         0.0025         0.0513         0.4474
         2.0030         3.8620         3.0049         0.0205         0.1194         6.7475
         2.0041         1.5978         1.2460         0.0128         0.1973         2.6465
         2.0041         2.7166         1.9104         0.0122         0.0397         4.5873
         2.0044         4.6446         2.5783         0.0161         7.0353         0.1876
         2.0048         0.5171         0.0958         0.0028         0.5265         0.0864
         2.0051         1.5757         2.2305         0.0198         3.2949         0.5113
         2.0051         3.5257         0.4851         0.0017         3.0969         0.9139
         2.0051         3.0159         0.5540         0.0039         0.6033         2.9666
         2.0051         1.2938         2.5545         0.0182         0.7510         3.0974
         2.1036         0.1966         0.2967         0.0037         0.0159         0.4774
         2.1049         0.4039         0.3453         0.0066         0.0012         0.7479
         2.1066         0.7149         0.3808         0.0035         1.0426         0.0531
         2.1083         0.8657         0.5381         0.0054         1.3841         0.0198
         2.1085         0.3372         0.1996         0.0012         0.4838         0.0530
         2.1086         0.2312         0.2352         0.0026         0.0366         0.4298
         2.1092         3.1555         1.8509         0.0131         0.2730         4.7333
         2.1103         0.3890         0.2518         0.0062         0.0089         0.6319
         2.1104         2.9742         1.8132         0.0138         0.2406         4.5468
         2.1109         3.5192         1.2955         0.0089         4.4369         0.3777
         2.1110         1.2204         0.7109         0.0063         1.8861         0.0453
         2.1118         0.1933         0.1933         0.0011         0.3801         0.0065
         2.1120         3.3673         1.1360         0.0072         4.1373         0.3660
         2.1127         0.8650         0.5748         0.0041         1.4170         0.0228
         2.1134         3.0943         1.9085         0.0138         0.2826         4.7202
         2.1136         3.8999         1.4857         0.0108         5.0131         0.3725
         2.1143         0.3398         0.3089         0.0041         0.0081         0.6406
         2.1146         0.2904         0.2493         0.0049         0.0010         0.5387
         2.1156         3.0105         0.9794         0.0068         3.6758         0.3141
         2.1165         4.0500         1.4971         0.0110         5.1740         0.3730
         2.1172         3.3731         1.1243         0.0088         4.1561         0.3413
         2.1173         2.9824         1.8962         0.0157         0.2111         4.6674
         2.1191         2.9655         1.8397         0.0149         0.2632         4.5420
         2.1197         1.9186         2.0460         0.0197         0.1141         3.8505
         2.1206         2.9843         2.0517         0.0150         4.9560         0.0799
         2.1211         2.1802         2.2856         0.0204         0.1116         4.3542
         2.1217         3.0346         1.8932         0.0159         0.2214         4.7065
         2.1225         2.8888         1.9836         0.0141         4.8074         0.0650
         2.1231         1.8601         2.0983         0.0196         0.1080         3.8504
         2.1233         3.0136         2.0241         0.0133         4.9215         0.1162
         2.1242         4.4304         1.5208         0.0113         5.5496         0.4016
         2.1243         4.1573         1.4818         0.0106         5.2810         0.3580
         2.1244         2.5870         2.4806         0.0206         0.1175         4.9501
         2.1252         3.1137         2.1312         0.0124         5.1308         0.1140
         2.1259         1.0054         0.5107         0.0030         0.0825         1.4336
         2.1262         3.0681         2.1327         0.0144         5.1278         0.0730
         2.1263         3.2134         2.2221         0.0146         5.3380         0.0975
         2.1265         0.7519         0.1469         0.0008         0.7757         0.1231
         2.1268         1.8213         2.1648         0.0205         0.1265         3.8595
         2.1270         3.0602         1.6145         0.0128         0.2069         4.4677
         2.1271         0.7421         0.2432         0.0009         0.1089         0.8764
         2.1271         2.4463         2.4803         0.0221         0.1329         4.7937
         2.1272         2.9378         1.4279         0.0113         0.1983         4.1675
         2.1282         4.1783         1.5516         0.0098         5.3959         0.3341
         2.1287         2.6489         1.2445         0.0081         0.1699         3.7235
         2.1288         1.0741         0.4613         0.0034         0.1155         1.4198
         2.1291         0.7223         0.1935         0.0013         0.8212         0.0947
         2.1292         0.8687         0.2218         0.0013         0.9502         0.1404
         2.1294         4.4243         1.5621         0.0118         5.5944         0.3920
         2.1297         3.4522         1.8340         0.0135         0.2037         5.0825
         2.1298         0.2643         0.3306         0.0015         0.5498         0.0451
         2.1298         0.5189         0.3730         0.0023         0.8686         0.0233
         2.1306         3.0129         1.4137         0.0095         0.1910         4.2355
         2.1309         0.8946         0.5471         0.0073         0.0219         1.4198
         2.1313         0.7654         0.3741         0.0065         0.0572         1.0823
