 #  energy  xx  yy  zz  xy  xz  yz
         1.9965         2.8455         0.7001         0.0068         0.2580         0.1153        -0.0275
         1.9969         1.9634         2.1775         0.0167        -0.8317         0.1022        -0.1876
         1.9971         1.5875         2.4404         0.0181        -1.1085         0.1113        -0.2087
         1.9976         2.9914         0.5026         0.0031         0.2594         0.0826        -0.0122
         1.9988         4.2144         0.7932         0.0095        -0.8187         0.1940        -0.0560
         1.9988         3.6241         0.9199         0.0126        -0.9649         0.2034        -0.0826
         1.9993         0.6812         2.2014         0.0095         0.2136         0.0042        -0.1409
         1.9993         0.8452         1.8745         0.0098         0.1958         0.0067        -0.1317
         1.9994         0.6413         2.2057         0.0104         0.1682         0.0039        -0.1486
         1.9994         0.9037         1.8789         0.0116         0.2413        -0.0010        -0.1453
         1.9999         3.7144         0.9698         0.0141        -0.9716         0.2101        -0.0944
         1.9999         4.1764         0.7932         0.0087        -0.8964         0.1832        -0.0591
         2.0019         3.0779         1.5537         0.0092        -0.0131         0.0694        -0.1090
         2.0019         2.0288         1.1326         0.0086        -0.5549         0.1168        -0.0743
         2.0026         0.3798         0.1189         0.0025        -0.0770         0.0233        -0.0154
         2.0030         3.8620         3.0049         0.0205        -0.7885         0.1817        -0.2217
         2.0041         1.5978         1.2460         0.0128        -0.7009         0.1156        -0.1153
         2.0041         2.7166         1.9104         0.0122        -0.1406         0.0919        -0.1362
         2.0044         4.6446         2.5783         0.0161        -0.5022         0.1567        -0.1818
         2.0048         0.5171         0.0958         0.0028        -0.0332         0.0346        -0.0088
         2.0051         1.5757         2.2305         0.0198        -1.2560         0.1315        -0.2088
         2.0051         3.5257         0.4851         0.0017         0.7204         0.0657         0.0006
         2.0051         3.0159         0.5540         0.0039         0.5239         0.0725        -0.0188
         2.0051         1.2938         2.5545         0.0182        -1.3888         0.1299        -0.2136
         2.1036         0.1966         0.2967         0.0037         0.0713         0.0107        -0.0250
         2.1049         0.4039         0.3453         0.0066         0.0060         0.0304        -0.0382
         2.1066         0.7149         0.3808         0.0035         0.1656         0.0278        -0.0223
         2.1083         0.8657         0.5381         0.0054         0.0226         0.0472        -0.0377
         2.1085         0.3372         0.1996         0.0012         0.1447         0.0069        -0.0093
         2.1086         0.2312         0.2352         0.0026         0.1254        -0.0010        -0.0214
         2.1092         3.1555         1.8509         0.0131        -0.9310         0.1510        -0.1411
         2.1103         0.3890         0.2518         0.0062        -0.0305         0.0241        -0.0360
         2.1104         2.9742         1.8132         0.0138        -0.8700         0.1447        -0.1452
         2.1109         3.5192         1.2955         0.0089        -0.6632         0.1247        -0.0958
         2.1110         1.2204         0.7109         0.0063        -0.1431         0.0658        -0.0514
         2.1118         0.1933         0.1933         0.0011         0.0497         0.0030        -0.0128
         2.1120         3.3673         1.1360         0.0072        -0.5194         0.1143        -0.0767
         2.1127         0.8650         0.5748         0.0041        -0.1059         0.0374        -0.0419
         2.1134         3.0943         1.9085         0.0138        -0.9912         0.1607        -0.1449
         2.1136         3.8999         1.4857         0.0108        -0.6406         0.1412        -0.1115
         2.1143         0.3398         0.3089         0.0041         0.0704         0.0093        -0.0317
         2.1146         0.2904         0.2493         0.0049        -0.0109         0.0163        -0.0321
         2.1156         3.0105         0.9794         0.0068        -0.3509         0.1033        -0.0673
         2.1165         4.0500         1.4971         0.0110        -0.5484         0.1483        -0.1094
         2.1172         3.3731         1.1243         0.0088        -0.3925         0.1255        -0.0816
         2.1173         2.9824         1.8962         0.0157        -0.8310         0.1507        -0.1578
         2.1191         2.9655         1.8397         0.0149        -0.9373         0.1676        -0.1449
         2.1197         1.9186         2.0460         0.0197        -0.6597         0.1442        -0.1768
         2.1206         2.9843         2.0517         0.0150        -0.4228         0.1300        -0.1545
         2.1211         2.1802         2.2856         0.0204        -0.6952         0.1491        -0.1925
         2.1217         3.0346         1.8932         0.0159        -0.8462         0.1620        -0.1547
         2.1225         2.8888         1.9836         0.0141        -0.3278         0.1179        -0.1477
         2.1231         1.8601         2.0983         0.0196        -0.6338         0.1368        -0.1804
         2.1233         3.0136         2.0241         0.0133        -0.5719         0.1435        -0.1383
         2.1242         4.4304         1.5208         0.0113        -0.3352         0.1599        -0.1032
         2.1243         4.1573         1.4818         0.0106        -0.3182         0.1514        -0.0979
         2.1244         2.5870         2.4806         0.0206        -0.7607         0.1610        -0.2019
         2.1252         3.1137         2.1312         0.0124        -0.5864         0.1385        -0.1385
         2.1259         1.0054         0.5107         0.0030        -0.2390         0.0183        -0.0391
         2.1262         3.0681         2.1327         0.0144        -0.3946         0.1298        -0.1530
         2.1263         3.2134         2.2221         0.0146        -0.5244         0.1424        -0.1563
         2.1265         0.7519         0.1469         0.0008        -0.0630         0.0116        -0.0102
         2.1268         1.8213         2.1648         0.0205        -0.6774         0.1409        -0.1879
         2.1270         3.0602         1.6145         0.0128        -0.6341         0.1627        -0.1118
         2.1271         0.7421         0.2432         0.0009        -0.1823         0.0104        -0.0148
         2.1271         2.4463         2.4803         0.0221        -0.7979         0.1678        -0.2081
         2.1272         2.9378         1.4279         0.0113        -0.5064         0.1377        -0.1039
         2.1282         4.1783         1.5516         0.0098        -0.2789         0.1388        -0.0988
         2.1287         2.6489         1.2445         0.0081        -0.3738         0.0981        -0.0865
         2.1288         1.0741         0.4613         0.0034        -0.2648         0.0258        -0.0393
         2.1291         0.7223         0.1935         0.0013         0.0887         0.0080        -0.0141
         2.1292         0.8687         0.2218         0.0013        -0.1697         0.0154        -0.0171
         2.1294         4.4243         1.5621         0.0118        -0.3804         0.1609        -0.1093
         2.1297         3.4522         1.8340         0.0135        -0.6171         0.1652        -0.1276
         2.1298         0.2643         0.3306         0.0015         0.1539         0.0069        -0.0142
         2.1298         0.5189         0.3730         0.0023         0.1221         0.0185        -0.0196
         2.1306         3.0129         1.4137         0.0095        -0.4120         0.1140        -0.0999
         2.1309         0.8946         0.5471         0.0073         0.0292         0.0433        -0.0520
         2.1313         0.7654         0.3741         0.0065         0.1539         0.0222        -0.0406
         2.1317         3.6411         1.8351         0.0136        -0.5327         0.1542        -0.1342
         2.1322         0.3499         0.0355         0.0002        -0.1033         0.0092        -0.0027
         2.1325         1.1180         0.3729         0.0026        -0.2011         0.0264        -0.0306
         2.1328         4.2977         1.5392         0.0099        -0.2662         0.1309        -0.1030
         2.1332         1.2191         0.7421         0.0092        -0.1080         0.0672        -0.0695
         2.1334         0.7185         0.0938         0.0010        -0.1094         0.0143        -0.0094
         2.1338         0.6346         0.1126         0.0011         0.0949         0.0118        -0.0078
         2.1341         4.2626         1.4880         0.0110        -0.3507         0.1425        -0.1075
         2.1342         0.2960         0.2642         0.0013         0.2060         0.0054        -0.0082
         2.1347         0.4973         0.0428         0.0003        -0.0666         0.0116        -0.0029
         2.1348         0.3921         0.1764         0.0036         0.1408         0.0107        -0.0167
         2.1351         0.8742         0.5824         0.0069        -0.0691         0.0469        -0.0539
         2.1352         0.4926         0.2791         0.0021         0.0835         0.0192        -0.0155
         2.1353         0.5625         0.0261         0.0007         0.0224         0.0121        -0.0028
         2.1363         0.2293         0.1714         0.0022         0.0618         0.0114        -0.0130
         2.1388         0.4547         0.3240         0.0020         0.1843         0.0144        -0.0137
         2.1399         0.3901         0.2713         0.0019         0.0936         0.0153        -0.0144
         2.1413         1.2356         0.5298         0.0026        -0.0754         0.0222        -0.0357
         2.1419         0.5222         0.3554         0.0005        -0.0696         0.0108        -0.0112
         2.1436         1.3075         0.4961         0.0029        -0.0942         0.0316        -0.0350
         2.1437         0.9247         0.2295         0.0016        -0.0932         0.0180        -0.0181
         2.1444         0.4870         0.3536         0.0014         0.0083         0.0005        -0.0223
         2.1447         0.5926         0.4768         0.0009        -0.1664         0.0170        -0.0173
         2.1463         0.4595         0.2034         0.0013         0.0041        -0.0034        -0.0160
         2.1471         0.4489         0.0234         0.0005        -0.0802         0.0121        -0.0034
         2.1474         2.0803         2.1001         0.0113        -0.3726         0.1098        -0.1258
         2.1475         1.3350         0.4126         0.0031        -0.0350         0.0396        -0.0290
         2.1478         2.2099         2.7592         0.0208        -0.4603         0.1311        -0.2137
         2.1480         0.4204         0.0980         0.0006        -0.0484        -0.0024        -0.0068
         2.1487         0.4980         0.2605         0.0006        -0.1493         0.0066        -0.0127
         2.1489         0.6101         0.0494         0.0007        -0.0088         0.0165        -0.0040
         2.1492         2.0296         2.1176         0.0117        -0.3556         0.1083        -0.1291
         2.1497         2.4158         2.3806         0.0118        -0.3769         0.1063        -0.1453
         2.1502         2.2259         2.7784         0.0181        -0.5401         0.1235        -0.2027
         2.1514         2.1368         2.6143         0.0200        -0.3505         0.1239        -0.2017
         2.1533         2.0265         2.1715         0.0122        -0.4282         0.0996        -0.1440
         2.1548         2.9138         2.5693         0.0129        -0.4165         0.1072        -0.1652
         2.1549         2.2494         2.9175         0.0187        -0.5308         0.1175        -0.2148
         2.1559         2.2183         2.8169         0.0200        -0.3555         0.1227        -0.2105
         2.1565         2.7519         2.5329         0.0139        -0.4801         0.1099        -0.1715
         2.1570         2.2957         2.9912         0.0207        -0.4642         0.1228        -0.2269
         2.1963         2.6793         1.4418         0.0202        -1.7232         0.2314        -0.1565
         2.1967         2.7708         1.1550         0.0075        -1.0856         0.1201        -0.0879
         2.1971         0.5740         0.8830         0.0048         0.3921         0.0093        -0.0473
         2.1971         2.6500         1.2371         0.0105        -1.2327         0.1339        -0.1121
         2.1979         2.3761         1.1020         0.0146        -1.4827         0.1854        -0.1202
