 #  energy  x  y  z  sp  sm
         0.0000         1.0944         1.0942         1.0009         1.0951         1.0935
         0.0007         1.0944         1.0943         1.0009         1.0951         1.0935
         0.0013         1.0945         1.0943         1.0009         1.0952         1.0936
         0.0020         1.0945         1.0943         1.0009         1.0952         1.0936
         0.0027         1.0945         1.0943         1.0009         1.0952         1.0936
         0.0033         1.0945         1.0943         1.0009         1.0952         1.0936
         0.0040         1.0945         1.0944         1.0009         1.0953         1.0936
         0.0047         1.0946         1.0944         1.0009         1.0953         1.0937
         0.0053         1.0946         1.0944         1.0009         1.0953         1.0937
         0.0060         1.0946         1.0944         1.0009         1.0953         1.0937
         0.0067         1.0946         1.0944         1.0009         1.0954         1.0937
         0.0073         1.0947         1.0945         1.0009         1.0954         1.0938
         0.0080         1.0947         1.0945         1.0009         1.0954         1.0938
         0.0087         1.0947         1.0945         1.0009         1.0954         1.0938
         0.0093         1.0947         1.0945         1.0009         1.0954         1.0938
         0.0100         1.0947         1.0946         1.0009         1.0955         1.0938
         0.0107         1.0948         1.0946         1.0009         1.0955         1.0939
         0.0113         1.0948         1.0946         1.0009         1.0955         1.0939
         0.0120         1.0948         1.0946         1.0009         1.0955         1.0939
         0.0127         1.0948         1.0946         1.0009         1.0956         1.0939
         0.0133         1.0949         1.0947         1.0009         1.0956         1.0940
         0.0140         1.0949         1.0947         1.0009         1.0956         1.0940
         0.0147         1.0949         1.0947         1.0009         1.0956         1.0940
         0.0153         1.0949         1.0947         1.0009         1.0956         1.0940
         0.0160         1.0950         1.0948         1.0009         1.0957         1.0940
         0.0167         1.0950         1.0948         1.0009         1.0957         1.0941
         0.0173         1.0950         1.0948         1.0009         1.0957         1.0941
         0.0180         1.0950         1.0948         1.0009         1.0957         1.0941
         0.0187         1.0950         1.0948         1.0009         1.0958         1.0941
         0.0193         1.0951         1.0949         1.0009         1.0958         1.0942
         0.0200         1.0951         1.0949         1.0009         1.0958         1.0942
         0.0207         1.0951         1.0949         1.0009         1.0958         1.0942
         0.0213         1.0951         1.0949         1.0009         1.0958         1.0942
         0.0220         1.0952         1.0950         1.0009         1.0959         1.0942
         0.0227         1.0952         1.0950         1.0009         1.0959         1.0943
         0.0233         1.0952         1.0950         1.0009         1.0959         1.0943
         0.0240         1.0952         1.0950         1.0009         1.0959         1.0943
         0.0247         1.0953         1.0950         1.0009         1.0960         1.0943
         0.0253         1.0953         1.0951         1.0009         1.0960         1.0944
         0.0260         1.0953         1.0951         1.0009         1.0960         1.0944
